Mixture	B cells	Monocytes	T cells CD4	T cells CD8	NK cells	Dendritic cells	NK T cells	Megakaryocytes	P-value	Correlation	RMSE	Absolute score (sig.score)
CPT0000870016	0.306451702699539	0.0851083203349885	2.22810883862397	0.0874761546230515	0.282820183316393	0.727733650930624	0	0.26177089625328	0	0.689601988704425	0.748617318159721	3.97946974678185
CPT0012640003	0.202296470978411	0	2.01134176386884	0	0.0190571699105764	0.0530245882644552	0.0368931028932974	0.222659343507099	0	0.344169792935032	0.946151445478091	2.54527243942268
CPT0001550001	0.243739670557743	0.0290082911342873	2.23383970500331	0.348394811571173	0.0738110923692583	0.0428783104592983	0	0.263424974924524	0	0.373500239009363	0.940791027634183	3.2350968560196
CPT0079510001	0.101680345527543	0	2.33766478607969	0.109603645673648	0.0341505017242558	0.150047444691441	0	0.300248603202494	0	0.429480443756328	0.919688197351874	3.03339532689907
CPT0075170001	0.312491447170527	0.499373564350009	1.95215555504102	0.364705858718617	0.128881819268997	0.212011814809898	0	0.309022362891719	0	0.544957504818973	0.857168790911152	3.77864242225078
CPT0020130001	0.235138323800933	0	1.99914811850983	0.299114090520415	0.0590970081711705	0.0791821667908641	0	0.242785444344384	0	0.354066254765679	0.943009228940005	2.9144651521376
CPT0025580004	0	0	2.20448137067524	0	0.166313580719904	0.999536145210273	0.118444788713166	0.25392827389309	0	0.668224415183698	0.750381157457564	3.74270415921167
CPT0012900004	0.213656102678043	0.0686538728551236	1.98601488464016	0.0121753503565747	0.137575816524528	0.865120381095085	0.0308322813906963	0.228742202184335	0	0.673839261550172	0.743808217735514	3.54277089172455
CPT0079410003	0	0.752859210062396	2.30240883373279	0	0.2055856758242	0.974350219718273	0	0.214609613733295	0	0.693667269766653	0.727300819792994	4.44981355307095
CPT0014160003	0	0.832260207371835	2.76627899041025	0	0.153903642492247	1.50039452424202	0.00525342174805855	0.195581979714644	0	0.70399264032133	0.710922259219448	5.45367276597905
CPT0006900003	0	0.170029124878729	2.1174144312877	0	0.293498437996771	1.26608298903009	0.232059097805689	0.254977768132183	0	0.702886344479922	0.714405957647838	4.33406184913116
CPT0081620001	0.20429922006333	0	2.23267976578757	0.126125777925976	0.031312309347127	0.111139018947942	0	0.257945117754415	0	0.311402155569289	0.953671634185507	2.96350120982636
CPT0071150004	0	0.104417333745723	2.72453426236476	0.227993621689736	0.205339217127576	0.771339539221279	0	0.238204616990081	0	0.6417221251919	0.795308958139768	4.27182859113916
CPT0063640001	0.288321343780803	0	2.17948782130062	0.230407508538486	0.0647311843926565	0.174773304963751	0	0.318010792102035	0	0.426565080070248	0.913843505465183	3.25573195507836
CPT0012920003	0.0883495158226286	0	1.91975468656996	0.112601626068891	0.0513047991768561	0.218670560129361	0	0.200359141623383	0	0.462734889291202	0.903116787654416	2.59104032939108
CPT0092290003	0	0.569392431564222	2.81225384931652	0	0.309416651088548	1.34077851339832	0	0.280636192417956	0	0.655065139414906	0.75700666586735	5.31247763778556
CPT0089480003	0.184412803619242	0	2.48150746493305	0	0.0343854800111578	0.136160468632507	0.0541125617503172	0.325557706985918	0	0.27663453849415	0.962663213706925	3.2161364859322
CPT0014450004	0	0.0799405769444898	1.85883023103273	0.138988369750228	0.0832677637449402	1.30403468760613	0	0.238027239171517	0	0.720915555322617	0.693086626127578	3.70308886825004
CPT0086030003	0	0.210688376029726	2.62400724040791	0.0290968209079928	0.305510560860929	0.964423296716657	0	0.225776500265586	0	0.638610029802483	0.779378625918648	4.35950279518881
CPT0007470001	0.162227917059755	0	2.37373205890483	0.0134459971435619	0.0604838533324286	0.210150181434198	0	0.360983981791917	0	0.359277140307707	0.935616038712131	3.18102398966669
CPT0063630003	0	1.18169894837231	2.03578807362219	0.0615194995587633	0.293229171317983	1.02363745623405	0	0.238144364275892	0	0.626206163205523	0.779539704879239	4.8340175133812
CPT0069010001	0.155271952863942	0	2.22627136688699	0.129565335878453	0.038652012150365	0.120449277520128	0	0.249384521192503	0	0.347412645350311	0.944378757941128	2.91959446649238
CPT0007870001	0.13386270923017	0	2.32648738217319	0.108714314014637	0.0430065185499816	0.126438775598547	0	0.31070669607924	0	0.342120778851974	0.944718112880715	3.04921639564577
CPT0079230003	0.18047503047361	0.153198728485016	2.32602789520927	0.107881543053875	0.129248827792843	0.821269061253497	0	0.208964340444765	0	0.667620461090822	0.758443745143392	3.92706542671287
CPT0006630003	0	0.173385919675563	2.66107750363968	0	0.251881950583774	1.0630832345348	0	0.349775814793126	0	0.588220825665518	0.809883672918269	4.49920442322695
CPT0025880003	0.474492244764229	0.0684027204294036	2.20567027499248	0.317471682170708	0.19605465722963	1.14226969189134	0.0504868402873328	0.205267582468989	0	0.735340342644345	0.68846872641569	4.66011569423411
CPT0007320003	1.07497288738097	0.0368912283431223	1.8496677098792	0	0.142094877063557	1.21218944328069	0.496552158372175	0.242940061226683	0	0.715106433035173	0.699509068827226	5.05530836554639
CPT0075130003	0	0.537614913833908	2.3026537966593	0	0.170539560772175	0.842770393753756	0.261788803283446	0.280103252328454	0	0.576392628272965	0.819266355824063	4.39547072063104
CPT0010170001	0.213626987409007	0	2.38112351520528	0.000571039430101527	0.0411340677716258	0.100452450810662	0.0335899386410438	0.265219863545569	0	0.313207350697756	0.953410855610164	3.03571786281329
CPT0089460004	0	0.167095915488731	2.41350340634155	0.217020533292896	0.175470240911036	0.836660824090117	0	0.293158944787674	0	0.659690717071338	0.770759159698842	4.102909864912
CPT0012280003	0.611803947051018	0.240967500148448	1.6028321724283	0.292939918420821	0.313305119663706	1.42763006474302	0.207522690066693	0.219497570807837	0	0.726946903207647	0.686864870734524	4.91649898332984
CPT0077310003	0	0.373779817757286	2.26928237589971	0.182380138826464	0.275473971120334	0.996136909971245	0	0.262773716409448	0	0.61269762900988	0.79248861278176	4.35982692998448
CPT0019130003	0	0	2.38074003249271	0.0918420507746532	0.144901029439103	1.25782927915459	0	0.239619564480033	0	0.611430691558681	0.792021472916183	4.11493195634109
CPT0065810003	1.03018514597224	0.205353542533773	1.41531773520164	0.407489123655076	0.24908235950563	0.851606989642203	0.234907868369886	0.262543597241931	0	0.666387309496465	0.746363415300335	4.65648636212238
CPT0076350001	0.729725914848887	0	2.07254768151567	0.212074023394717	0.0797364408669814	0.108596764940818	0	0.272533564291053	0	0.494617900224354	0.879879587091661	3.47521438985813
CPT0088690003	0.409870363629057	0.0144130838133966	2.23850761330333	0.121429097028134	0.188487122339958	1.09313817328539	0.367384730656665	0.258171257490363	0	0.586717864231725	0.81038937926699	4.69140144154629
CPT0001270001	0.108540040640745	0	1.95559231725251	0.284746560490214	0.0945385477420946	0.459457729616662	0	0.31578335519078	0	0.516715489573946	0.864388257916563	3.218658550933
CPT0063320003	0	0.228528990733324	2.48694140083752	0.100959232501621	0.161404581726174	0.692909541057491	0	0.306206408320341	0	0.582362910488664	0.82336408989631	3.97695015517647
CPT0088550004	2.48008081948252	3.07130398454022	0.0881830398531737	0.813100022284602	0.297217420060453	0.771958820751814	0.357374915529559	0.0275567090316995	0	0.544202013039943	0.871703763973832	7.90677573153404
