Mixture	B.cells	T4.cells	T8.cells	DC	Granulocytes	MO	NK.cells	P-value	Correlation	RMSE	Absolute score (sig.score)
CPT0086360003	0.713216609933459	0.996085410966422	0.0845533420482045	0.104087924756903	0	1.12043524053111	0.789477967321134	0	0.88338822096192	0.532845281010413	3.80785649555723
CPT0092800003	0.523441542709365	1.28324318565566	0	0.469344000419439	0.0216934514377143	0.347732467796951	0.0230997812322963	0	0.594634335764283	0.807770610747317	2.66855442925142
CPT0065810003	0.57587349383497	1.29963061069983	0.344740942307517	0.452544085815193	0	0.714870760006658	0.0453776025336889	0	0.804517993960303	0.608053254157198	3.43303749519785
CPT0092790003	0.691614163129555	1.32323797911368	0	0.310610737929098	0	0.507049485389559	0.206528093436991	0	0.755911952946571	0.670540552489501	3.03904045899889
CPT0001500009	0.842862253405604	0.867941246987648	0.0155204234225195	0.436880759893473	0	0.840606577842785	0.106047334667549	0	0.852378212052985	0.554503517378003	3.10985859621958
CPT0086370003	0.518269373402094	1.26198224222913	0	0.504957957819563	0	0.117211910950876	0.0606533254938029	0	0.6162261867251	0.789838914780481	2.46307480989546
CPT0001510001	0.329759758621452	1.75004915491414	0	0.199993504847652	2.22566565037488e-05	0.15022960576946	0.0615662697606747	0	0.601637672828134	0.800192894730159	2.49162055056988
CPT0006950001	0.803155912136425	1.06406881985377	0	0.443708842252032	0.00707964599766885	0.324339325496543	0.0393871643571361	0	0.595310541129771	0.804194530034908	2.68173971009358
CPT0006900003	0.670744495627854	1.240399075466	0.424554639088167	0.118550305285057	0	0.658761994335552	0	0	0.825822282458644	0.614673336399837	3.11301050980263
CPT0010120001	0.828753700541165	1.96573782633215	0	0.401555400310135	0.127365275833587	0.365973972452325	0	0	0.498843908833352	0.871507703865952	3.68938617546937
CPT0025610001	0.427524561652283	1.1220970260825	0	0.522447202230474	0.00692791954666831	0.340966463291904	0.0138690651211252	0	0.705336807199992	0.709188077120861	2.43383223792496
CPT0081600003	0.697002889692506	1.46974641686775	0	0.23321087635025	0.00523328556929812	0.857403207151065	0.0116024408139735	0	0.874723785761899	0.537623623388517	3.27419911644484
CPT0081620001	0.561233162643602	1.25922364095259	0	0.569541935056858	0	0.208033721446778	0.0568834717768754	0	0.571899647171899	0.827518432161773	2.6549159318767
CPT0025580004	0.536415761765816	1.12067182561868	0	0.365732310810822	0.0334792445337034	0.466943547978967	0.167259905798916	0	0.809872759006925	0.608276317650594	2.69050259650691
CPT0010110003	0.475054561775856	1.9522789209363	0	0.345817285427831	0	0.99861302771078	0.434107104052741	0	0.834382097905471	0.571725378226312	4.20587089990351
CPT0001180009	0.942424143264669	1.33861323052345	0	0.315341612623642	0	0.844280523739837	0.0272789053653662	0	0.841743366555104	0.583545270484045	3.46793841551696
CPT0082010001	0.584787204074206	0.945042331244984	0	0.661791480907414	0.0461369957437338	0.302012717855053	0.00985728738725534	0	0.7065815968004	0.707811331098026	2.54962801721265
CPT0015910003	1.1468835140295	1.61549262574032	0.041885222532684	0.0719098755733787	0	0.784353981731652	0.0535309138830628	0	0.788332760418782	0.665195492517837	3.7140561334906
CPT0086870003	0.676534657704635	1.39501954104223	0	0.353302646618587	0.0281323393067574	0.381179916783899	0.48101310594099	0	0.847337970673989	0.586405194427292	3.3151822073971
CPT0063330001	0.55378457254426	1.12831982624368	0	0.37742709822325	0	0.374981614761177	0.163125237576384	0	0.562768024022134	0.830689086286242	2.59763834934875
CPT0001190001	0.273555938515987	1.13038388202624	0	0.644963768138288	0.0390101817013323	0.330270020105703	0.0158659539895096	0	0.843383071845524	0.541371137664015	2.43404974447706
CPT0063320003	0.797498657586451	1.47351058625297	0	0.244366318560037	0.0032040446025304	0.897890157593074	0.205926811880429	0	0.628794077120343	0.777296980579573	3.62239657647549
CPT0081990003	0.605053510743333	1.58561239485129	0.268360363010521	0.301951672057197	0.0636117244561447	0.750106811816213	0.0609011289456261	0	0.831545322239697	0.589335193702273	3.63559760588032
CPT0086890003	0.41847068370712	1.31742371774804	0	0.427409352239507	0.00623477472885495	0.0765567238385832	0.0865704126971736	0	0.59800050083025	0.804518162932411	2.33266566495928
CPT0001340003	0.521121780577035	1.16095949773888	0	0.412886137167321	0.00789831762997122	0.726614338437329	0.0544021514986913	0	0.819893842673823	0.583880155379164	2.88388222304922
CPT0020130001	0.653774897056952	0.987763848744821	0	0.526546860157369	0	0.258966977155794	0.0748808610086687	0	0.555469194886239	0.838012341944267	2.5019334441236
CPT0075170001	0.441728330267883	1.47397471396125	0.0720718884689767	0.689028772504844	0.332130606248342	0.511205887916673	0	0	0.7936019865845	0.614826730084789	3.52014019936797
CPT0001350001	0.64257308624948	1.05467587838211	0	0.451676012487454	0.00653337355490852	0.338436166351174	0.0489546358540599	0	0.659436318339027	0.752303030851088	2.54284915287919
CPT0075130003	0.855959971394093	1.15054077590104	0.0401885770463934	0.387569452254868	0.000568922860573844	0.86945511978461	0	0	0.872905483754867	0.534709356028509	3.30428281924158
CPT0020120003	1.03014729916771	1.27156467835961	0.0773429166210391	0.20420416353138	0.0339719022049017	0.966600500877813	0.0286920383662374	0	0.855702684818385	0.579064157707919	3.61252349912868
