	X1489	X2590	X2529	X1105	X1785	X2290	X1428	X1923	X1563	X1430	X1466	X1552	X1467	X2432	X1321	X1545	X2288	X1693	X1556	X2267	X2260
ADSL	18.700759688	18.026466912	18.619399784	18.13755824	18.07420692	18.970835168	18.53920916	18.34306396	18.637001168	18.86223832	19.588233032	18.173859512	18.07361036	18.618445	18.520666088	18.58287764	18.328480512	18.295539336	18.66594852	18.433011456	18.433851768
ADSS	18.578296984	18.84796664	18.30048132	18.508002712	18.987120072	18.7006926	18.333192072	18.234536696	18.293772368	18.375099784	18.394470312	18.459196712	18.55563448	18.335375328	18.51246188	18.007189816	18.248759744	18.96195004	18.548746048	18.57962264	18.345151648
AEBP1	18.542785824	18.274199184	19.76022304	19.400223912	18.991335096	18.329035272	18.181228088	19.183785008	19.266038352	19.611014824	19.058418856	19.277451144	18.396941048	18.672418544	19.459154504	19.509086232	19.0827724	19.303052888	19.393821776	18.75113096	19.366134528
AFDN	17.94312876	18.09206672	18.6331708	18.689584552	18.326823192	17.435113728	18.251316928	18.175610616	18.165296352	18.32407012	18.497190544	18.478728416	18.550220776	18.659647208	18.507180624	18.160711048	18.662185248	18.553145736	18.31660312	18.408839232	18.525090336
AFG3L2	19.59044932	19.7880702	18.909697208	19.6226662	18.94928288	19.593918608	18.770120536	18.885877616	18.828135336	19.42688012	19.7648924	19.300555296	19.863266	19.355036864	19.588201392	18.969426088	19.014139552	19.169499	18.953251048	19.028698104	19.18599848
AFM	18.756522992	18.36860076	18.884063576	19.318723208	18.394812248	17.976729504	18.909355184	19.387383952	18.741001184	19.048698392	18.738883136	19.157358536	18.87211648	18.603678032	19.259995232	18.495548816	18.60712172	18.620020936	18.925543048	19.6510706	18.672406232
AGFG1	19.098236168	18.978206064	19.084623552	19.175061488	19.12463908	18.986435512	18.773750008	18.978833232	19.324905368	19.088344512	19.024831728	18.733657992	19.086188624	19.16269972	19.072032992	19.1254073378987	19.128277563277	19.0033704585145	19.0394166911113	19.1276384475549	18.9709409199107
AGK	18.718962144	18.632219304	18.69573664	18.5943844	18.574338384	18.977888944	18.69806992	18.66004204	18.888050464	18.138887144	18.588930072	18.76742936	18.340281176	18.589211584	18.909062304	18.654559248	18.44118836	18.680172168	18.371408696	19.085162912	18.578887912
AGL	18.447249616	18.470062064	18.293525808	18.200604928	18.453012608	18.616714744	18.398128512	18.544058584	18.648505392	18.568646416	18.873828064	18.808155712	18.877933144	18.34386796	18.559365112	18.484973096	18.587434528	18.336232408	18.677167376	18.56664436	18.391982952
AGO2	17.89859728	18.146521144	17.926187584	18.046897224	18.162993552	17.969850824	17.929644448	17.928268216	17.966456352	17.913461776	17.721122392	17.864054392	17.952138376	17.92752868	17.869211336	17.861772776	17.845634856	18.08434992	17.867762072	17.887916136	17.916473192
AGPS	18.21094124	18.137708288	18.174586024	17.877589224	18.396172768	18.29210188	18.33822688	18.048472304	18.47399212	18.192265808	18.308037912	18.520118264	18.749135976	18.412436368	18.247739128	18.326715504	18.485688912	17.983120952	18.347101096	18.278653816	18.164823304
AGRN	18.513285024	18.574940928	18.115491872	18.810722312	18.664256288	18.500851696	18.839277304	18.829544656	18.152995328	18.840297728	18.4332428	18.34408032	19.158293624	18.75669384	18.5827004	18.203779664	18.836649256	18.911684192	18.567251928	18.545205296	18.631870848
AGT	19.008877432	18.67454428	18.811320768	19.769957	18.701692664	18.48654936	18.656989856	19.55905096	19.46525304	19.088344592	18.97435032	19.689589216	19.051009432	18.928611088	19.39572388	18.530339536	18.752344416	18.799199208	19.469648376	19.4681884	18.632624464
