NAME	B	CTL	GMP-like	LSPC-Cycle	LSPC-Primed	LSPC-Quiescent	Mono-like	Monocyte	NK	Plasma	ProMono-like	T	cDC	cDC-like
ABHD17B	1	1	38.3955015435249	38.428151967552	57.1348953898908	44.8302136365619	1	1	43.2469893678676	1	1	1	1	29.097891872165
ABHD3	1	1	1	26.3590163193878	1	1	1	45.0327110305095	1	45.0515962548885	1	1	1	1
ABHD5	1	1	1	1	1	1	44.7896928062783	68.5034179248217	1	1	28.2905825813741	1	1	1
ABI3	1	1	1	1	1	1	1	1	68.7756295379225	1	1	1	1	1
ABLIM1	108.805670084746	149.776908052057	1	42.0904544763786	80.0593762771482	47.391633988635	1	1	138.438744727601	21.374235172749	1	267.094624356043	1	1
ABR	1	74.1728518554315	1	1	1	1	37.1805685480631	1	31.1472062779344	1	27.5976099638488	1	41.979138775427	31.0730746430052
ABRAXAS2	1	1	25.3021680560711	27.5276494172764	27.2175378271187	38.7461412542676	1	1	1	1	1	1	27.2878650394515	34.1853264582742
ABT1	1	1	22.9160276973019	31.9921424008423	28.9340806344738	30.4689195158492	1	29.8742478554237	42.7177506147548	1	1	1	1	19.9091285352262
ACACA	1	1	20.9689747566153	1	22.3400136752231	1	1	1	1	1	1	1	1	1
ACAD9	1	1	22.6285378836045	23.7848076746299	1	1	1	1	1	1	22.6709925639404	1	1	1
ACADSB	1	1	21.7611523967485	1	28.3480907861727	1	1	1	67.5964108133563	1	1	54.8023593603097	1	1
ACAT2	1	38.1089871299077	1	31.0946091406955	1	1	1	1	1	1	1	1	1	1
ACCS	1	1	26.4755121965306	17.5104217348692	27.6912129096155	1	1	1	1	1	1	1	1	1
ACD	1	1	1	20.8496913472811	1	1	1	1	1	1	1	1	1	1
ACER3	1	1	22.8649215915529	1	1	1	68.3627972876498	58.8238732569452	1	1	43.7211019194932	1	52.3429255205992	40.3225021704326
ACOT7	1	1	1	20.96120153257	1	1	1	1	1	1	1	1	1	1
ACP5	49.46555805604	1	1	1	1	1	1	1	1	1	1	1	1	1
ACPP	1	1	1	1	1	1	33.5672377688712	62.5966627202134	1	1	1	1	25.0782840214553	33.206838897393
ACSF3	1	45.5600892114166	1	25.2924568532459	31.3641422699156	31.1722891498696	1	1	1	1	1	1	1	1
ACSL1	1	1	1	20.2316623424105	1	1	143.027279666654	115.508520279346	1	1	57.2217853597408	1	33.6105682474798	30.8427408639971
ACSL6	1	59.1848440033546	1	1	1	1	1	1	1	1	1	35.8453701803845	1	1
ACSS1	1	1	30.6221386750611	27.1686449645352	34.5479630677183	35.5742839607679	1	1	1	15.77103567258	1	1	1	1
ACTA2	1	1	1	22.6080093175773	1	1	1	1	1	1	1	1	1	30.576446057521
ACTG1P20	48.5716148166774	1	25.6414741733622	31.7223180571316	44.8113747724253	36.6039064620296	1	50.8240234594333	1	1	1	1	1	64.5007212024563
ACTR1B	1	1	21.9700156223165	31.0496143052554	24.8622678693885	35.0445270889801	1	1	1	1	1	1	26.1342367676865	29.2660889791814
ACTR8	1	1	23.3010531406823	18.5321805729074	27.4438344782457	1	1	1	1	1	1	1	1	1
ACVR1C	1	1	1	1	1	1	1	1	1	31.889574932545	1	1	1	1
ACY1	1	1	17.4450667374902	1	1	1	1	1	1	1	1	1	1	1
ACY3	146.558346080754	1	1	46.1234501365813	1	58.6770961895206	1	1	1	1	1	1	1	79.6900748074641
ACYP1	1	1	27.3724219626728	57.0645518667569	32.8220421611099	29.4439568655562	1	1	1	1	38.9701097882678	1	1	1
ACYP2	36.4128172538019	1	24.7513570667436	22.595678865921	24.4116003239245	28.0482107800115	1	1	1	42.4223819172051	1	1	67.3100148093888	30.6684256913612
ADA	1	1	30.6911875872898	54.8126576843806	46.7218318274102	52.9563165259899	1	1	1	1	1	1	1	22.3422477406861
ADAL	1	1	1	29.1590786447489	1	1	1	1	1	42.1189844229436	1	1	1	1
ADAM15	1	1	18.3555271716955	22.4428958641908	1	1	1	1	1	1	20.1778752281927	1	1	26.620868406096
ADAM19	41.5129535969875	1	1	1	1	1	1	1	1	70.4011435091845	1	1	1	1
ADAM28	195.816311356544	52.9166328476057	1	74.3707205499542	151.101690682712	83.4700144969079	27.3722704891955	31.0604291678016	62.2897197933891	123.131611874832	1	1	77.8157581756454	132.082420965533
ADAM9	1	1	1	1	1	1	54.237473234295	29.2594178160558	1	1	38.6389184769684	1	1	1
ADAMTSL4	1	1	1	1	1	1	30.4664534608825	1	1	1	1	1	1	1
ADAP1	1	1	1	1	1	1	25.9131676207335	40.6919630670122	1	1	1	1	1	1
ADAP2	1	1	1	1	1	1	42.0745415553095	53.4968975260696	1	1	1	1	1	28.0608910247532
ADAT1	1	43.1595056595726	24.2352862753452	28.9289199850833	29.5821750798992	1	1	1	1	1	25.2782669906675	1	1	32.9934508659423
