genes	B cells	T4 cells	T8 cells	DC	Granulocytes	MO	NK cells
CYB5A	674249924.648262	385170722.40022117	418428937.5934675	347993750.07001954	47610257.72270647	295340500.2119963	386926250.4017957
CYB5B	86803472.66344346	81619244.98022489	90198517.9431231	81020793.77388892	92801669.94518156	77852733.32106201	85476230.09750578
CYB5R1	1827961916.0752242	3858547223.6992593	4338756251.691268	1985100000.9522088	1536730000.0364692	2767416665.0123134	2723387500.0404296
CYB5R2	41806327.16505812	12053933.283859335	8782694.399657736	12686261.529773645	31402268.38295385	9223782.913016776	4460621.415605358
CYB5R3	6820460833.35756	8191513893.393962	9028918751.02076	11437212503.296783	8438908335.089325	10461041661.085964	11282625013.65184
CYB5R4	157001368.6454007	202904777.77126196	258266625.08052942	749281250.1023768	996661498.3379854	579172499.6986209	240858750.43515003
CYBA	3350813334.66609	161698269.85142908	173753374.52048856	3267920002.4763155	13241681660.501059	6100941662.36998	318971499.9855811
CYBB	6511900250.419343	91896250.1813938	1938479.1881519584	21956737458.26344	52047769945.02598	44274083292.23496	81139558.43489778
CYBC1	802427499.747128	966800277.2205102	1039155624.677305	1469398748.865603	1051720000.7812158	1494447502.0044558	1306778750.103225
CYBRD1	7302600.390966202	22446964.07999993	67431545.64766864	68135175.96580608	975154178.5139316	480209310.5991991	131619125.11388603
CYC1	3638666666.655319	3774894443.588686	4911106252.277962	3775675002.966166	1313147500.8144214	6174516666.206172	5617250001.213884
CYCS	8856541675.759287	10422361113.46713	12215324999.41099	8958325007.21188	3191291664.8464675	7081483333.506985	8349375003.893849
CYFIP1	9425003.752887601	43625607.80175785	32925119.740719773	2938187498.602963	169132626.75604686	4115608332.169029	138808599.86049023
CYFIP2	8558291669.714303	9850141660.448647	10917700010.101784	11943875005.44146	11730108325.267424	7749449994.906894	12129724986.828255
CYHR1	34459520.49081906	49511119.28188901	66979562.49228832	82830874.96136007	35515953.94999655	91140916.69773297	90265124.99083889
CYLD	512192833.54398227	2142065555.970792	1461528749.4801862	901598749.4614683	1269587499.022107	390050166.78899556	1308741251.4437711
CYP1A1	7279382.42767911	5012550.714634916	9011929.999260588	20456877.816603485	5053080.581563617	4128614.8689858075	4312204.856084082
CYP1B1	28787435.07560954	30393511.638877545	49648629.835794546	31391424.210380428	69394757.57874143	58275359.98748965	62724478.13929917
CYP20A1	881422500.4247513	1812212777.122812	1843968749.8677976	1638205001.195918	339275832.92504233	1437153333.079338	1220701249.3189187
CYP27A1	24098740.613915503	39778384.11339766	6832967.594679462	82564633.15577337	20912058.243194196	1239125835.2092345	70859096.75770871
CYP27B1	5681460.358838878	4313467.292852615	4469579.2688659765	3129805.324501273	8159521.491228136	5081190.451189704	3986904.561241911
CYP2D6	4661643.006800248	5531697.300526836	10073529.418929312	2115209.559309803	49565000.71138444	3952749.988688115	5649257.280107531
CYP2D7	4661643.006800248	5531697.300526836	10073529.418929312	2115209.559309803	49565000.71138444	3952749.988688115	5649257.280107531
CYP2S1	10686802.668757966	7107962.847663125	10580704.868833425	1049320000.2747186	17396180.910339773	324160833.2009306	54046273.847938694
CYP2U1	85190269.07084587	34878629.64040601	71391792.02257456	313213875.4937109	23229877.06448025	50491459.247534506	43210524.07020321
CYP4F12	4808823.198874299	5132422.862544363	3946281.396408783	3986322.3923435737	348673455.9654277	6521399.09193556	4154353.6740354765
CYP4F22	6152645.124878437	4622656.0709369145	4603352.480919708	4058997.0402286495	7029006.357704419	71516824.12429984	4175439.665691845
CYP4F3	8964391.836954458	2047890.8442020665	3321926.3711494007	11600000.006760301	3115030048.031248	16001871.648484489	2499852.127823753
CYP4F8	4168568.8421796	6290156.844387963	3591843.980224362	3050151.513762372	6039608.580594234	5056021.032041679	5282320.527052087
CYP51A1	37509600.44003399	22375433.284632936	21713871.240116537	419568749.45388526	26044198.409548208	24164636.261489566	24562737.456374235
CYP7B1	4174859.454794266	4891146.240598461	14565096.862111203	9133722.27509462	45922267.12608892	6155573.216257003	4281127.101633325
CYREN	4976094.920239921	11047241.618928406	6861735.931353941	11832249.69854755	5573850.676971741	3757951.6009971816	23055002.587651953
CYRIA	617103597.0483032	156894653.19802555	269989911.3316779	1458527500.4222734	164173967.49436158	1677690834.4697483	1247862501.622739
CYRIB	5280267506.927323	8813708332.100195	11610668758.825066	17585125010.66606	12575758326.57591	14163016668.071213	16383375000.46123
CYSLTR1	6909621.927448277	4188222.91974283	5271514.476035459	5266590.232422359	9387422.953122752	5324729.58184334	4610445.213142591
CYSTM1	6596079.419777439	8455055.450862864	5130850.863984301	8314479.225475771	120661577.31175892	9828674.721617369	5507281.591732409
CYTH1	134034064.9230756	1788650000.3930812	1709849998.9760523	417050000.0950383	721071333.6892098	656494166.0443658	1017404999.8452628
CYTH2	21607052.783961747	60025541.113521904	73270874.99225128	19162804.898504447	79450894.05883254	37442797.9670886	92922749.96382006
CYTH4	45353694.28330577	183942222.2199038	275874000.160483	547951249.7051277	170598248.7835256	318009166.56945914	266056249.95369786
CYTIP	19363705.52857554	302021527.8954291	262098125.0800481	38367381.0841324	283464793.0336352	125610410.0322433	144101875.12472534
CZIB	1249098334.246637	2108141666.4754384	2196068750.4602423	1878650000.992823	1928208333.2353337	1570072501.0783246	2145249997.1575089
D2HGDH	158892603.19550854	124820282.5295324	146302624.8806391	55584587.514766395	42080782.86323073	45430020.65365972	44573076.19836908
DAAM1	198672126.0873814	148921176.90516764	91993561.0416164	230582749.97705746	192544738.1716899	145678666.63575712	88914804.63085283
DAB2	46055332.01467559	32299277.050444152	37202330.430483416	1737114996.6460176	32484675.349642187	34940353.339426555	245380594.11507356
DACH1	54752109.59789261	16943375.50866276	22195887.05164969	32530558.196591966	38477832.30643962	5918595.237531076	59997626.72370276
DAD1	391261667.07175803	480802749.8730793	696505625.3140177	1524546250.2465858	425988270.0707967	851625834.4265423	503364499.819365
DAG1	495671927.8883988	40118750.60389802	26463185.647928216	19037592.141270507	71268015.97884355	45854799.86266178	37993470.23929632
DAGLB	104971524.2419167	33044946.64984687	57751500.0276168	781195123.7722456	740400833.522802	2038633334.1287956	98280425.19405127
DAND5	5615874.950107675	53865535.54231643	34790563.939226426	4050518.907653347	21529649.5433793	37483317.35795106	3585530.302113273
DAP	227581499.89432666	197490916.81254938	142387937.35445988	409892500.3988835	58087558.71724936	127041333.20769991	167071375.026498
DAP3	2215497499.4051523	2700402778.4810925	2966543751.0178847	2748799998.284425	651054631.0471916	3698983332.966656	2917774999.358514
DAPK1	38109128.205367014	50820212.20230968	26943465.43924308	87758499.920079	143503149.20957512	757884250.1706113	14466428.643664697
DAPK2	16887160.86588836	8668104.965202551	7274654.865809326	48318044.859666385	962242166.433684	10725500.584783798	10160997.251682138
DAPK3	37916902.042918995	111289529.45400445	60033149.20904594	65805018.69815801	197376301.79892483	210085126.91625544	115681026.72344731
DAPP1	279802255.9435459	44634090.45506997	14926374.643505638	291889874.9355328	159274666.64523306	354614999.9415675	39705598.20504776
DARS1	9174833335.58049	8783302779.323338	9881156259.984613	11244925008.076525	6984858328.614868	9885216657.269566	7144912504.446045
DARS2	1765459833.0593197	2117436111.1526942	2688450001.360067	1541349998.7566404	600921583.9889771	2217658334.0612373	2394337500.9604387
DAXX	949223416.7163836	555642778.0542235	791723125.6121995	383261249.7707791	86137543.89033961	147555666.77433679	600576249.9425873
DAZAP1	4199158329.3850665	4339569444.086781	4849031251.688109	4115324999.2254066	3204383333.9892445	4049158335.249422	4635187501.926015
DAZAP2	5165809.007354381	6749890.090853158	7438777.537081622	5244607.921670793	6086792.909148604	4983143.345830382	5997096.085190353
DBI	4344199999.527232	5082688892.964081	5506999995.0017185	7112249995.064142	5765416329.630389	7225350006.04215	6363074991.14644
DBN1	26899532.268507857	28535632.433976818	4224477500.816236	553689407.5131375	958239338.1679636	74277220.16703145	235837968.24775112
DBNL	3365507590.9961295	385780867.2009064	288948602.6603489	960366082.3398013	928614483.6403569	438540835.9880633	454808145.82606614
DBP	4860496.934046663	12467500.789451418	16640376.899389759	4074015.236649988	5483319.624306557	26021250.940704178	8608887.920190832
DBR1	959557500.3085637	1334940555.7295618	1447611249.4123807	1461362500.5917444	1291990000.7666154	1044440832.7956287	1258062499.407694
DBT	1272060167.0242548	1838813889.5040865	2836043749.482338	1257821250.0095127	234348333.29655758	772769166.2106051	2247350001.454897
DCAF1	668687250.3464233	1320503056.096023	1717431251.0352504	787268750.214969	374235786.8300105	628918333.0946966	1746169999.2809234
DCAF11	54749109.35444795	100349409.32064548	126824499.90421358	149365500.0299067	209466666.95637664	125653224.86099313	138805874.98011136
DCAF12	7814494.366380519	4988137.133601718	4180331.534908722	5239369.456249503	13395288.111485252	7842737.528404576	3401413.3491988685
DCAF13	510721134.60919327	775571666.9021426	1023173749.9176929	292416249.980101	114180583.31154396	189281250.05096936	633801249.4576323
DCAF15	9436242.93646652	9810973.574297652	9904276.607115962	9548416.99917889	8120159.537070378	23974942.717102375	5505809.51286036
DCAF16	5525758.015938509	6745673.195982899	6570560.009514866	20763191.89221362	9195462.191367384	6267084.604121338	4654811.229411211
DCAF5	105651844.96269028	322617894.09859735	420021683.0742739	696602951.09705	415817115.3339641	291434860.0266133	559607621.740453
DCAF6	51165753.08933381	6416134.295390679	8936199.13506558	15772453.43388203	283361155.14655626	52392701.10383886	13757977.957618969
DCAF7	375758209.8875075	603030833.5750791	732126874.8142858	433187499.8457812	389656825.7809708	493709999.8154072	807477499.6940459
DCAF8	576940331.7503937	669321944.5020499	679756874.9653504	651734999.7105225	715714999.7620941	458035833.2104497	720091250.8357353
DCAKD	133369585.81647862	270191249.9248745	269296937.4750874	393446249.8910039	55728149.45925661	139224333.28859195	223586249.9804284
DCD	2469722333.1276464	205401632.5981803	67802700.48138887	111003500.07156523	142370736.48709926	17027479.420522448	31315858.23232436
DCK	3665968335.056954	3324997221.994706	3516868749.3410296	9459449995.858143	1161503583.0618546	2784674999.7302604	3756687501.170678
DCLRE1C	15831396.968755735	8015603.077715041	12989069.250624498	15964127.775899276	5444624.484869417	11525912.979682237	6691217.205387861
DCP1A	415060499.9032412	845115555.8764994	1033333750.0265065	798028750.6384598	230935416.60315883	550669167.070817	1030750000.8859482
DCP1B	165957609.14810824	286943776.2575103	336968749.9317661	133131375.06164336	132466165.8130797	96309749.93946876	191480000.14919698
DCP2	39265740.47507201	105112783.64331742	116772124.96941607	74632375.11396249	16428939.696260782	95094337.05470937	124459124.84097075
DCPS	5421524996.940923	4756608333.562898	5062668754.244192	6088112498.611954	2949416667.2792583	2739333334.510537	6422675006.492266
DCTD	206675818.78579092	236491277.86861908	384098749.74519706	562226250.413513	647832281.2068712	254452500.10758746	430871249.99775785
DCTN1	4542844994.8716345	6159744443.568946	6856343755.512447	6845800002.185414	10063275001.289448	8062641667.519505	5326174996.082853
DCTN2	3844374998.0425296	5128208333.167769	5567187498.5905695	4791862500.229338	6671325002.115299	6367899996.567649	4671062498.107778
DCTN3	544970511.3045138	523622416.9171201	540666875.2317123	683027499.5312291	1041603332.5093445	668008332.9891368	464367499.78275865
DCTN4	515613333.638988	868910833.5580692	1033371250.9266707	1030375000.0777098	1026338332.3346759	990566666.4445	739373749.4716899
DCTN5	167942118.80897593	92916439.88957259	206342962.82405293	180658749.94303912	429440416.44578725	228379750.03619274	97161750.05468395
DCTN6	85097343.53809628	142857624.5863641	170340812.4899298	266061250.3752669	231971387.76353952	149924968.82824418	132068500.00020646
DCTPP1	758563499.4932914	396907805.4690106	278630374.89950114	1037311249.7496238	270838333.3151533	372129166.3679182	266822500.32132226
DCUN1D1	480469832.86668354	907817222.1250689	904824374.9015617	1313965000.8705025	1060685000.2564874	751166665.8098058	1064717499.0718452
DCUN1D3	6341631.334849336	10134599.292117946	11029134.229995063	6436120.126738136	37633715.21864787	6063963.886623203	4495809.924641632
DCUN1D4	9419208.366844557	6351981.000684649	4588101.415805491	4306917.07218405	10184812.43263804	9498600.531777168	4437635.9014678765
DCUN1D5	322822229.5491838	378958498.7383574	417682499.82471764	319804999.83601063	144041981.411151	455476333.6843236	322306250.3608612
DCXR	3586636670.241984	2971705553.530291	3542606249.2085385	3701337495.2408686	2866545834.330925	2442441664.9337745	3649799998.8080397
DDA1	93971291.5360514	76171197.22342792	107067000.05347411	62612503.29827466	35375859.11749342	40759928.59270829	68600553.12804033
DDAH1	11109665.465489987	6716914.451518934	9784590.953380764	48924884.14719977	1391088333.4962072	61299680.40361934	10128442.220446777
DDAH2	1757284999.183922	520913944.6013013	680095625.5965929	3371091251.5023155	2445982500.571838	637448333.6924577	2666162500.599538
DDB1	8834224993.618954	14774450001.148258	16216249996.435406	11149887509.206343	7164883327.8030205	11422616663.633791	14524000000.991028
DDB2	1192066198.8728006	1101313250.4113362	943710624.7838296	274529374.8138723	1165227724.8507066	276897083.5145919	571274999.6609021
DDHD1	104759084.9163519	91408427.59472302	154234562.39237365	52885011.04972281	287389892.5773345	104280311.34333648	46950373.27527675
DDHD2	117322526.55049987	98089887.67077494	123076277.78170477	66801376.062663935	15579788.577799149	38453869.94014425	125269685.13365985
DDI2	1358085833.3775957	1234050000.8216898	1304899999.933907	1875825000.5275302	527627500.40566045	1158589999.8964279	1158791250.535887
DDIT4	7506433.84763825	17963638.178272523	9918472.442230066	23638973.08997025	11148496.272832705	10492656.445794294	6613052.5409919415
DDOST	6408016673.513862	5002458335.685896	5210231250.306358	11445825000.441023	4564733333.659101	11405533330.832994	6016262501.729147
DDRGK1	1938175832.02174	2235594444.119213	2727787499.187502	3405350001.9304447	734412500.1871448	2257016666.935765	2432274999.506673
DDT	2656191665.6464696	2956099999.293257	3555868749.9691067	5109987495.649708	4509058328.717312	4017983332.471798	4034187498.3048697
DDX1	9708299991.7878	15212341675.972994	17744124992.937298	13497350005.924654	8462165823.509979	9589608327.58174	14838624978.587301
DDX10	304090833.077889	310753333.3609092	367502499.6130972	132790999.97715944	157625224.7352455	104892083.39543529	221171624.8963917
DDX11	67766342.01355423	315032956.476773	587224013.2486619	98364524.34126894	117766641.84923847	242774839.0088078	229318691.47824156
DDX12P	6424495.051866449	8119372.245866607	8646764.594252704	17296073.2707794	54766543.31732466	19497072.5023722	3757844.881660721
DDX17	18148016683.60111	21847194441.740818	24664000005.99626	17849999997.528397	11927041664.898346	14162916670.830849	23045999998.724007
DDX18	2811589168.5579305	4755811107.032034	5998156255.814295	2750425002.3169613	318012869.506898	2354858334.869232	3811450001.7626495
DDX19A	2863283334.6677423	4152480555.35496	4105662503.91828	3753549999.351425	2150867500.732573	3505808336.79764	4049537502.278965
DDX19B	31059549.697613474	74259241.21828097	105509437.44904414	71293125.15546513	47006354.902182184	97134605.19699897	25991083.580792814
DDX20	405062499.7409598	395980000.0888722	372594374.8001439	678224999.6982563	327943499.9881288	308531666.4626244	367888749.92535454
DDX21	8521283335.143064	8424824997.864361	9621606246.574139	4842825006.695856	3326905668.8561645	5030558330.126147	5708249996.150036
DDX23	3573751668.6818795	4173838889.2077703	4734068748.1981	3434912500.439097	1709544997.5169108	2565108333.587645	4320987500.591796
DDX24	2211432499.822498	6097369442.111879	7100225004.905101	946960000.7383893	305026281.6191091	423493499.68960476	5101112500.823475
DDX27	1875165835.4562988	2181881666.13429	2809999997.5009437	1322652500.2810853	215251833.31895387	669916666.8999085	1554409999.2823753
DDX28	92542056.28503834	172960944.62564367	301720375.0164994	69926250.00878832	108663774.12744974	114137499.94858734	160052499.88322175
DDX31	238975819.1012098	497154638.8679262	609343125.15392	117267624.88731015	192602698.73758963	175603650.7537327	351526374.69647
DDX39A	4044300002.4819894	5600577775.693143	5554956253.236996	4548012501.158474	2139627499.944537	3939291666.4415245	6490349998.429819
DDX39B	542276004.7393785	738074282.0635917	505916083.70750964	727311029.0664169	952001583.3142675	553020904.1933447	829680734.8669888
DDX3X	7364233336.8949995	10287286110.261969	10172406258.20395	13134624999.421074	6539191661.670177	11242725002.999517	11936749981.920967
DDX3Y	270678166.3843917	572011955.8285651	926501250.6293647	255865057.48479122	118409220.77253376	237386555.39478943	308933038.594385
DDX41	873989095.9051181	1421584722.0507984	1620968125.3024993	892072500.0251932	659891666.6865596	1175922501.1072814	1233030001.4508393
DDX42	123174116.86815579	146051790.70588157	139033229.11032987	103733828.41081156	146909271.02530846	122654599.03838074	129214475.59001124
DDX46	11363536.616005339	60946263.40491373	66962520.69864381	32695659.26074408	18046017.771889344	32170793.012868885	73985999.92013177
DDX47	1083190000.811864	1925894722.3258772	1830150624.9134393	523946249.5695651	48691831.64522913	234277666.32973385	830568750.2458365
DDX49	115834229.61400731	353484500.24584204	436626875.0849361	68876749.9369518	79289569.2674422	105896025.33252342	275542250.02390426
DDX5	21700833313.356632	26102277777.573654	30692874997.280445	28933625018.19834	13766808339.615868	26222833330.726627	30000250036.83367
DDX50	778541583.192619	1380304166.1296184	1480585001.2238657	908183749.8598197	397187499.7931804	545277500.2594367	1258872498.337549
DDX51	484891333.6133644	530223611.17629826	646838749.8245063	410947500.13470685	20840791.280246876	145268249.86201307	568712500.0470788
DDX52	766206686.3105258	1250375001.092385	1735495626.2661417	423163750.14408034	123641123.10452104	173112000.06041944	1114195000.3158526
DDX54	133033349.85787134	92396204.01128015	103531597.40312211	120189559.53676431	124621608.73988634	39312257.37139931	94314320.4864009
DDX55	322346333.06974256	653082444.5048006	727532500.861321	285177500.320367	399816250.2552843	188786416.6327184	461470000.273814
DDX56	613509166.7004274	935152499.7357861	1214580623.2343302	560353750.0093485	114480763.61752415	433316666.5729789	805562499.7669735
DDX58	1608350084.3355014	2818019445.1618133	3285743747.5641575	496489124.11980164	1520863166.605149	1697424165.006524	2638612500.042562
DDX59	406234916.60616	139548939.18999034	159955000.0548814	184934499.93079206	185054280.60841855	112698500.0238468	177624022.3779685
DDX6	5727508333.378951	7653972218.982456	8506518754.63105	6456449995.757755	3743983335.534189	4993499998.739966	8093937486.112464
DDX60	1462103998.3604364	3632184167.963339	5549056250.230604	298275749.90312773	356687833.01381165	1595067498.3408318	3517287498.3665996
DDX60L	110811935.55398022	112950566.55258316	150808499.90010843	49792475.06204978	32477313.579032376	77010656.38678786	110077599.96495274
DEAF1	17113713.41481838	23765814.802180853	28388862.6647504	14192041.955560572	9025697.858372273	6960047.77268077	12644872.86235047
DECR1	179733099.72625816	214102869.51211897	188408073.2892782	204071490.74743462	237932892.46281245	281576798.47016364	225295458.6321697
DECR2	12422221.450131675	8355719.15594555	5289298.350494753	40661656.87382715	64885458.536871195	25676148.88302904	15020965.122394731
DEF6	2752916665.6969814	5153594444.54649	5429424997.927285	2748687499.5030556	5921024996.368241	2543625002.1493764	4337999999.300622
DEFA3	1752361666.3492916	323817012.53075665	40988005.56421116	2415418753.2129884	123726700020.68318	2394225833.7677093	155352087.3828897
DEFA4	4892961.990871512	7205395.62023089	4968531.287940601	4887332.758259837	396863000.24685663	10169212.39968413	3747159.054311943
DEGS1	43271278.80055148	98670191.0324845	93196999.96016668	244321124.62774575	109670200.51755275	181128083.30746686	47033124.99310695
DEK	10276985010.113062	14366247217.91691	15455312499.58241	8762462497.006968	8093105824.101888	9867425001.732178	13393999997.752743
DENND10	162492472.51246086	409408499.88447714	345085437.4466079	322223749.8186171	708570004.5532322	1420639165.6629417	285521249.94521856
DENND11	52931731.52871204	29595365.243291505	49061601.1766997	41794834.6989981	39929636.582283236	18133658.777407903	104631999.98030593
DENND1A	76151888.45416848	253492266.14036137	105487916.38567056	588652000.5405905	416699166.76101464	955757499.7179011	181029688.3090311
DENND1B	4402829.216474497	18097897.035328507	12558955.936303657	32928490.162933376	26495807.2509843	15584779.979108645	50232754.79901299
DENND1C	982579709.7489038	1806994444.4322534	2346299998.1397023	777571249.923573	557199666.5960463	525462416.65219384	2172925000.5752144
DENND2B	19826996.227569323	5194533.254041415	5030367.749809591	4003176.8170551327	684581071.657991	4771076.816174362	4651306.188426878
DENND2C	5655748.22609333	7174940.362349438	8144571.974261355	4874946.501729601	14128232.269371102	21995817.838039126	4903134.769434386
DENND2D	68101530.72419746	112510109.02963756	149189077.57365566	9495703.127642088	36346823.7874707	17218042.620112006	160021619.65545124
DENND3	237303563.6469985	66078978.62958573	81917068.75578801	132120499.99242407	1970796667.8188283	1146348333.6441042	449197500.24148524
DENND4A	723473499.7789955	415703805.5531399	681374375.5794797	368397749.60713434	325041666.8814589	289145333.3465629	552089999.846523
DENND4B	304409203.2727911	465767861.01775146	587626249.840577	962948749.4921753	351287666.90436393	770140833.04629	613617498.9273227
DENND4C	555670833.0128471	1714787500.5285356	2497237499.5033345	1192786248.9764707	592216667.1846895	423653749.91632986	2385087497.5206437
DENND5A	66468112.248565584	31220196.661282737	26588805.5311356	42310097.35214041	20499746.98951792	54637372.761500955	3801560.981610422
DENND5B	51555540.18023578	5660077.005063894	5048156.006351575	3407338.222320317	4406907.865452587	18172139.095454346	6034600.030985344
DENND6A	4540951.352187242	15985579.16109518	40452956.5675373	5618148.029184277	36059495.60364955	36993569.01798816	5062431.850865717
DENR	1250962500.4948187	1158079167.1106882	1235699999.7800846	1191912499.2726805	1261236666.7417474	733605832.9792911	1016792499.6520098
DEPDC5	152033858.8816606	151028321.10794866	171052187.61698964	110811210.77605157	74190340.03856403	162301416.58792457	143954375.00235814
DEPTOR	7025596.938892238	8842492.296177741	11894169.990442904	128550728.41203795	6082205.334399174	9530937.323168674	4084114.6132531953
DERA	948393334.4719697	1311801389.7075691	1333828124.7300668	3825624997.3981695	2357372500.8431497	3366716665.0652466	2096987498.2920926
DERL1	393104999.79867435	549292499.9934802	664113875.1194816	561793749.3560176	221795833.0898334	627070833.7208573	693122500.9884866
DERL2	43025400.761439495	54827159.07843919	74880249.99856748	145806874.9475597	63772718.94132307	93949749.93721898	96564125.03945166
DERL3	98958202.82826306	31505817.332975805	12767991.282230735	343019239.13661927	71752292.40714723	19914632.466139447	4060226.145617287
DES	8290876.455852895	21332801.460429993	18400849.62324133	62926241.88116425	400478521.1979611	47196868.94732285	10885410.222335776
DESI1	7756014.066397667	30651353.743975103	25802478.53655148	19146803.1462261	23745211.78318214	280185012.4692119	10156280.078345606
DFFA	64114455.26049302	74107447.3775596	71363479.69610736	66531587.93785971	58388282.44621005	58392942.341666095	76807281.86281365
DFFB	89693251.58612607	190178083.3640626	282831250.0384406	31713185.967306465	115054014.99679935	60814585.31534516	219725741.039403
DGAT1	293443917.066083	148793223.27213967	120690858.66911998	239500625.38875428	357439916.8609047	252769583.5562191	110958183.74933234
DGAT2	5257553.268244236	14931747.990766304	29405170.993176594	18384606.860107403	25581688.634841252	33417050.574684445	6678472.1470068
DGCR8	90628912.46452254	116196470.98126669	137386812.40325066	120285249.94003788	43963337.25535334	93823580.763799	194500000.3635145
DGKA	3727401722.54101	18793422230.245342	14093031243.09772	2448437498.1252766	3336741664.266556	1777541666.2160463	2028962500.1627936
DGKB	116566289.62998183	567926014.2788641	518888785.46013874	63143368.89712989	42593899.997601755	18556534.727943525	45363499.95666016
DGKD	4812309.395629829	5598755.494934188	3696373.197560565	3996965.413697888	4729090.272484012	5836180.267130603	3524012.9965192173
DGKE	10292403.420672625	74720731.66035786	91356284.15285315	34836447.54893761	4221109.744014579	17135425.350316193	97492366.55609153
DGKG	11874548.09505506	50757111.09621337	33314410.431467745	291611883.7065225	219763382.11560464	279745922.5761844	47435655.237871595
DGKH	21485810.135862764	94262451.40428531	870284804.337346	168947629.45265582	103222205.60295142	12531375.617257662	11413063.645775132
DGKQ	19256366.049794648	58785936.39298993	296132562.831568	59691499.991435654	62049894.30943513	64323346.981086485	759017499.8689384
DGKZ	23619602.238724034	72139969.02189942	74447774.1841668	77413859.5149897	96599588.80290909	74163629.4233766	103642650.72060063
DGLUCY	1879958163.5086238	1571899869.3932164	2283635625.1489024	897724999.5494003	304118333.8457656	1240725165.8863537	2076043334.0442936
DGUOK	548285634.5764161	690915555.1922982	810529374.7827129	286992499.8622067	322230864.75443226	332522499.80874264	452397499.97272515
DHCR24	95691719.58215599	11666889.139753783	15150910.465068871	53573237.55208974	34546212.51353981	39462002.22740942	32690881.901204437
DHCR7	55099015.45226131	33586694.68394299	33827685.73678688	30996695.012354743	59421877.77723581	19196800.470085714	24879685.05494523
DHDDS	26632553.061252195	9709673.514523013	9531207.026451128	64768749.97384956	43687576.38339632	69081689.65326242	27578729.69822975
DHFR	78604416.6698444	6827372.987149379	7363109.566136007	76888295.28697887	12748024.341751272	6607314.773678106	25888515.023506127
DHODH	509552514.5210561	457994023.54795516	892421249.3905667	607353749.7512355	128811000.05112149	565718333.105248	522052499.99660206
DHPS	83775295.28542311	67008994.5650012	128390999.93389587	58323749.99601525	42717720.30547687	69018083.30430795	140578374.94391042
DHRS1	1133458417.1822894	1053020832.9796461	680503125.2909476	812621250.2456818	1670678250.1986856	1156004166.7729063	1291563747.6826804
DHRS11	24026998.29058841	43530510.14173476	39233357.61698939	36257785.152962856	290232556.1925805	15757032.275153982	43596597.0321848
DHRS13	23111831.764563415	62341020.933408126	56134653.91243604	55907016.37949061	56176749.38988992	718650398.2108154	133279625.17505524
DHRS2	5845675.992482041	5087585.164738257	4401627.080278181	6183347.892766271	8103885.757436535	13175805.440494731	3864216.30211533
DHRS3	4814340.954218899	369910295.33798814	465343608.0171594	2473437.2927383934	25678269.46595849	34933453.723936446	25267702.950434025
DHRS4	875441362.5451721	1319726388.9958324	1568578749.3293958	2059237501.318493	309595605.795346	2149075001.459086	1228783749.4985566
DHRS7	1882241667.6991537	4284988889.673064	6935681248.76318	6883699999.793993	6136783338.341098	5377041673.875824	9164712494.013725
DHRS7B	30868314.133460965	108990985.25257553	98402562.58793707	312856250.0364816	255105997.3831875	839430000.3998739	188457124.70391357
DHRS9	5115534.361973942	4771581.852207471	4118115.3787078783	52346856.01287831	150281060.19921073	49466002.243072174	4378962.668530718
DHRSX	5143035.338587356	8613959.296821244	12492838.595127553	28651952.4219881	25820164.74702167	47708517.64578283	31444448.922032002
DHTKD1	813666851.1039276	91403503.63862805	123845000.05382048	2885960001.0768247	178694583.13851488	428614416.9066822	143375374.90494168
DHX15	8613550001.252665	12954047225.547224	14518312502.378105	10909437496.878914	6412133336.10698	10935408327.434357	13367249995.111294
DHX16	293233483.42701155	662900833.61146	837718124.6898699	645101249.782681	286519916.74420613	626818333.0021883	963826249.838152
DHX29	399643333.3392671	493683611.1465347	513884375.13078517	973896249.1162047	305022249.89136004	634034999.6500291	355115000.3641683
DHX30	76949575.14765762	110138486.4984685	93988552.32331377	95727797.38657114	48116153.87298769	74228689.04025695	124901887.53604746
DHX32	12075200.069327319	5072507.824703052	4017743.624172245	5912455.94244233	5114338.193386818	9449906.17993468	8476429.964596622
DHX33	39342988.84582529	102659012.43530105	139183249.97369343	99354996.36406411	41324827.56196472	50736487.19287922	69262874.94989043
DHX34	9281963.421734061	39808807.839816175	34988027.19585476	43306672.809800364	6566907.856012307	32617873.44526984	56845249.93130041
DHX35	87447456.30302456	137438801.56552795	154801937.4659067	85542625.1059604	530756206.2232099	74796584.73076819	118574249.95325018
DHX36	750026667.3052748	1463735000.4694085	1750868749.4417207	1201237500.7901344	565366666.3066905	988450832.3795158	1483095000.6027718
DHX37	473245000.0154187	503685277.79744625	689688124.4608232	537432499.79644	174137749.92093986	373249166.51986337	568682499.4824214
DHX38	925990833.3822645	1621218056.1421483	1833681251.126139	1430600000.3443286	642869165.8554584	1287428333.878824	1659987499.259774
DHX40	75542663.52573217	127995905.7519082	183440062.3912573	104180624.97475925	227856068.27237502	201993750.17821062	150391124.8720998
DHX57	237797885.15509415	212123749.9889965	198728562.61424157	158339625.09108713	411158605.2001794	359315832.96506137	184739812.66707513
DHX58	6401847.927029092	4291441.547080175	7504833.839083716	6399943.102608282	4579930.134985641	50585364.835555516	5339216.720336301
