genes	B cells	T4 cells	T8 cells	DC	Granulocytes	MO	NK cells
ABI1	1786808334.3501568	1851050000.952253	985450000.3042492	2470326250.1274633	4928541667.489587	1637946666.0331085	1259241249.5800061
ABI2	16859165.704110533	7914290.768995229	7357083.372393003	91379060.64430325	6327782.325509771	6608712.414067338	26911428.13124357
ABI3	1087020265.5198717	1038390000.8786284	2700881248.723479	1704420627.4766412	742254905.6273932	2003888085.0818603	3160157498.737377
ABITRAM	8753456.732022429	19208969.48028719	21382009.468192037	37024977.12198998	6845534.839013603	16986757.07281839	41616681.2294366
ABL1	70515783.5992158	104107479.94133677	113944437.4702238	94532124.87416126	230002668.97920457	95379411.80270614	98210624.98254895
ABL2	17322855.724855836	8885996.546499807	14765186.516156226	12283673.265666177	21148497.76295839	16329731.208645156	22547660.34986566
ABLIM1	61149305.76161984	234288329.01489067	314837291.51274335	11554650.782032732	18275879.306987714	14286887.952245498	53667280.960085176
ABLIM3	16385912.627194291	29202883.47432907	42877637.88390206	10952012.050923098	53591224.30137972	11857966.918990687	13740856.930063711
ABR	324745166.80703497	1048244999.7638751	1109100623.608836	1344892499.9249685	1020964167.055912	1729869166.1563857	968907500.5041177
ABRACL	3818016666.2439194	8895483332.72379	8576781250.235323	5165612503.019727	5254172838.815403	5625933331.262423	6472062500.6336155
ABRAXAS1	341385264.0929083	341054111.0549691	305696250.0206946	71481072.96238895	342700666.4685808	57147424.77085522	233516750.04433352
ABRAXAS2	816474083.0963446	981357500.215527	1103171249.5366058	1287050000.7625914	1113119166.3694594	902725834.3951712	868963749.1257417
ABT1	162457342.92556912	283375611.11668247	323373750.11535865	57389428.56610005	102185477.3372737	276900904.6872664	195182375.01042306
ABTB1	6069292.556269291	6355578.181317434	5680006.4734721305	6350110.411407776	6997404.811128917	10031092.55656344	17662376.67121631
ABTB2	8202656.312683108	130666171.88416842	32817857.424047753	5524365.815788634	70943851.2371536	10517211.885824138	13305978.087177876
ACAA1	1419045750.8809497	1745680554.9095602	1985068750.9102092	5668487504.459397	2272983332.170462	5572224997.979688	1924193750.983339
ACAA2	214350254.357191	238200349.11317298	349177485.64406335	253516576.87309414	168274287.8293151	913168118.5841551	411908815.97080076
ACACA	181916916.52106044	128118013.93034871	121493812.59573077	589486249.5592067	167447908.5433231	165446916.67307714	271636999.6235956
ACAD10	74625521.38500315	128519786.17782542	125526374.99730614	184582374.9273895	42212005.25446165	240816749.8674706	59843219.56951017
ACAD8	1118409320.5466835	1496887222.0435777	2454312499.2140007	786760749.4836355	1293601667.5767477	1120884165.6816273	1820987499.1315758
ACAD9	2431481664.849947	2687452777.0323086	2603625001.096842	3147162496.8823223	1695040834.1313572	5368991668.8434305	2297762497.9148507
ACADM	7327091666.557389	4716933332.419479	6018543750.455868	6317987497.894609	3927633332.570438	7222316671.715047	4662512503.9603815
ACADS	1219358320.7406292	4616563886.969905	5739487506.24097	2398012498.6778793	1964741666.3675086	4820225002.043182	6162275000.339764
ACADSB	1132149083.1622717	2657166666.804816	3053150000.0518537	877049999.0497668	435325416.5489494	986232500.6999364	2501699999.38141
ACADVL	7604133339.668346	11742802783.869934	15061374996.961052	19373624995.054123	12097300000.849253	27537499970.620106	15118375010.866789
ACAP1	2489619998.441147	7566491669.413968	8633506247.239937	2913687504.231105	5709641661.472143	1126006667.5618675	6254375001.424788
ACAP2	1632884168.705864	2162416667.529925	2378781249.2995963	2386137499.329028	2915525000.957564	3413924997.874819	2277062500.7438393
