genes	B.cells	T4.cells	T8.cells	DC	Granulocytes	MO	NK.cells
RHOA	3498043977.7482285	3172303910.5920715	4994737165.931653	4100256636.0862274	4959653508.880288	4371383998.455292	2740702565.445074
RHOB	12554703.435729645	15236937.621775026	45957867.17428607	48361520.6377922	126993434.52919088	388303626.7588227	41292454.77971434
RHOC	110226877.57539384	159381982.5468805	310992697.8366569	266700819.5711279	12489897.467041424	775958997.51549	704588380.0692437
RHOF	278342016.1616799	280868428.0728711	224674008.71253124	376790737.41798306	157913778.93931666	244712699.04206735	616252867.0413908
RHOG	1302937193.0033748	1261632059.5023477	1337645758.6510432	2570514509.510324	4767201062.829403	3523001683.485365	1654984126.836461
RHOH	105452611.3167277	97215605.67939492	234557797.88735247	83062520.97565019	74862774.24976783	75096727.87936966	55255408.08068829
RHOT1	249356852.1543294	217974888.219389	316280167.67364734	88831866.88552962	159088916.75690156	431593626.7299418	193274724.44717553
RHOT2	371658419.33031476	245799948.8946792	197055912.4203285	141891715.96750113	243622242.38287458	227135776.54811245	205477976.05984768
RIC1	24251709.70409536	48669413.742884055	37810549.74705436	87174615.33984601	56536804.18848922	93305106.78468938	39067910.1808402
RIC8A	539691600.4593319	332742240.52630925	373384601.7949303	180034900.96857414	666411666.8560778	236551495.93518353	195864743.80699086
RIC8B	2721521.4843682013	145945619.50433967	200735133.79769725	6388227.342728239	169911957.1379327	311748078.2408985	1509105.7369964574
RICTOR	85732618.64433345	117757736.33053643	139553814.4053575	114264205.71216021	347505858.9611595	148459846.95756692	192137395.47531524
RIDA	188758386.81326157	75800484.20327476	149317272.09086257	67981225.00105782	74470015.55273679	80377572.7760251	77465597.68018605
RIF1	876203936.1609272	315675045.6689047	275568634.42674476	342374243.69251597	485600235.3792894	91758274.79322584	369016666.7997292
RILP	22979064.784989752	24390573.239064153	9138321.523372626	15936096.572109472	143783949.3837171	21918999.964863546	6815702.880491597
RILPL1	74954856.57122691	10883195.6787989	5922266.971489477	3931856.875410594	4713337.290802998	2845733.287282763	1417250.0455377493
RILPL2	43197316.95258274	117878437.04463291	113485199.04161108	70783523.52786782	104018553.60007462	196926035.85412762	9493628.04478789
RIMS3	1692127.3236093991	4479162.929154739	5874605.396317087	102666832.00755127	71761789.10102376	1100042.124062736	1779499.6655831498
RIN1	3236573.51342127	33746711.50178408	38614994.43655902	25535316.045020305	134976173.70635995	412920514.85650593	8316978.387175825
RIN2	26322542.331578653	91762188.81558262	77296077.33035977	104388585.09276883	67347478.29690893	53438505.55967712	60519359.88716031
RIN3	640168864.4477425	567515041.4951315	496337318.86290705	1482211129.7216513	1216821061.1343045	548801505.3179715	598563840.8159968
RING1	337086613.28733075	141470756.2742478	145397977.14144418	128516375.32305919	151251616.5157049	80600161.01421434	122395997.24962477
RINL	24456668.730316885	19147519.54925587	25733026.526406083	29704050.645875033	106441228.21339454	40605981.95021628	20293774.87122696
RINT1	91100894.58055428	101877381.81047674	111998813.88442336	120408649.55991633	84144530.96741503	87037772.84296955	72801669.11853816
RIOK1	73422285.13352677	954040997.599976	84824619.33444314	62118818.02530755	3260029508.95814	212249444.72970816	76447906.52610546
RIOK2	48620085.43661281	28640360.892411586	14690180.528372547	28525052.473632526	37303660.89036442	47415826.914219566	18365368.992429253
RIOK3	24337379.75862487	26854048.832277983	23462630.165769327	21221146.886924144	22943023.96152174	49865729.787505224	31146690.736922756
RIOX1	203683029.41566327	388036308.62834436	374957335.7867183	102612385.83531773	582030338.0580152	190633098.25167298	196525592.18211475
RIOX2	340744334.537162	1825863210.6523015	572131663.9358144	620331455.1081076	112932091.66621359	170778428.8126095	274075756.3486385
RIPK1	1223950477.196985	235560634.37983555	346600679.00605756	123011912.46598282	390600252.6183185	197255316.77464548	333937653.7033205
RIPK2	56765566.56855725	25290336.50693868	52042147.21729632	43632406.58011995	56228061.617896706	59630660.48712116	22792456.119731136
RIPK3	116193109.57423195	129434377.55306098	137205794.08595404	86936272.94631308	179991695.9866292	96497600.9264437	103392587.45750678
RIPOR1	71382218.29465893	11811726.124442825	17042206.65611563	610241352.0072211	42314466.78942166	243689452.07524014	43831662.181683235
RIPOR2	1659447040.0519137	674553367.8791864	731861082.6306645	144310972.89148477	1319228875.623022	512774009.8044501	538343912.785828
RIPOR3	8240993.829024569	324964098.0580495	2046413236.9832692	62977779.668715455	22634408.602805898	17053541.442312945	784090387.4035188
RIT1	43253833.27942403	75567469.70718484	45514547.62462389	40233075.378993616	69813523.91551213	56478122.938532464	64505825.28969042
RLF	172560728.5034191	360959944.1112522	459371976.2032483	83248389.91958308	387639061.66481245	117154362.98823322	99674215.05853191
RLIM	3275750.6577241514	25088705.698216263	25351388.5023086	5543356.507969229	2284523.2328415294	256793068.83785605	13724293.048569297
RLN3	109286779.12262467	109377806.20080094	116738799.44094077	334572261.6766821	146393177.99855044	117241961.009934	287837788.6700253
RMC1	41298064.82609405	37579882.67129874	37162572.7641502	18360141.55812113	25086867.092792317	24070469.115283202	37073798.10919168
RMDN1	234969775.29501897	321861464.4861622	221728067.59056753	610921601.1716355	566753938.5420812	490957901.4717428	209544404.25223124
RMDN2	125409984.8048971	85254848.08402231	111941456.41486743	399419009.34785366	424143448.99324906	575427995.7706245	197979781.71054575
RMDN3	225331178.42135057	275756876.9927787	401516050.65916526	1422976776.5616112	174088557.48111114	514360181.48186797	1181693715.5154524
RMI1	25015607.283475578	23904990.785516787	42713711.77139694	18798282.702613544	10407638.018386753	49635889.36107351	30964958.69478683
RMI2	40253723.35299187	13457473.973006438	13801863.619660808	24115900.855701324	3964537.632278238	14385649.369608724	28427304.94755309
RMND1	54033723.54615926	45897838.50448953	52184129.63569542	33807503.63886404	1337238296.9762175	72675416.9936337	62719406.89598616
RMND5A	43714254.58062729	75829821.33937944	58957226.1663933	61885288.83762813	175265820.78485918	57524917.31845448	77145167.174582
RNASE2	5349857.441793169	3468839.6667505405	2114438.746745743	15503159.263159987	61381035406.91571	858298772.8439775	5838686.492029095
RNASE3	4431242.930833832	3014982.992548461	1503991.1988035715	4845923.737706121	136364350342.98132	941720523.4675871	6527660.408314419
RNASE4	10175146.013739876	64298468.242282845	3115216.5596495382	6269465.686468795	13126107.279055359	4559199.493050753	7128959.211163313
RNASE6	30015509.96453197	48979326.82954123	5750027.632199246	1067112862.7301947	711263433.1963859	333237648.8549516	80520948.93690805
RNASEH1	218942422.78892705	584429154.5461477	1039378442.6932124	454075208.4277821	350253322.7199883	579427981.6765219	523375192.29937476
RNASEH2A	611087766.9609101	312927840.64851046	296960705.2789596	288814010.6039152	282327919.8762526	427352059.01185435	160307706.2001743
RNASEH2B	389593045.53953135	173174244.74379253	273443472.87548393	287685563.1153217	127633203.95221773	209657555.30705497	108622309.12308136
RNASEH2C	512596010.26950055	368300823.00199974	362882704.09467906	583236737.6106222	200929669.50909227	420335222.926631	212955748.52811402
RNASEK-C17orf49	1215324969.8728402	1034099477.6701941	862703307.5796772	673914133.7638243	1549933469.1546345	384085547.3625418	2108067305.5630782
