genes	B.cells	T4.cells	T8.cells	DC	Granulocytes	MO	NK.cells
EMC4	57425942.502588116	35680544.44852974	33017208.29711158	120305812.27394603	66300966.89091197	75928819.21035017	44938739.59199257
EMC6	1463209.2042465266	11145784.809923016	346477850.20226496	47903418.63603539	4253505.705511565	34786188.318277776	15473035.965944516
EMC7	93220390.83838065	112058916.16340643	94675074.50624679	472235284.86341107	116812398.44319494	263589552.07371145	143415289.86688128
EMC8	70450981.23761205	65484762.769009806	83493561.29315318	84458470.06474812	38656051.00454091	153031329.08232802	61892224.361149885
EMC9	3002944.6855197824	4113188.9144435087	2485613.6197016635	31633523.158954475	3238482.097236175	6246629.519024064	6013856.06608876
EMD	388732454.2481198	585276460.341148	583062697.4662762	185759952.11655205	434995121.4404162	481068516.0796903	304172914.68950737
EME1	374926274.42993665	1497841690.6880457	1358242314.197056	2438502432.279745	4547179012.545206	54110891.9945362	465104324.88468826
EMG1	603364663.1616198	444362262.72875947	665916593.1707965	109907050.65105341	385758599.8274966	224191348.4491201	385587312.7828095
EMILIN1	228177221.7672937	135210961.988759	202420048.7046606	66118557.882033035	65773336.413283385	354375763.8601428	85732119.32335493
EMILIN2	200777479.25281844	5034094.279196822	38228825.036836766	9524306.220227884	69221906.49492048	88886319.83012909	51440833.23692274
EML1	41507732.065069504	75839789.0664119	65513066.12679239	8008101.755155381	10030629.252091777	65486596.38776628	56634732.657833755
EML2	38367284.58750017	110076659.10599867	216427762.89411065	14014898.664389579	137564419.96463937	36454190.33019129	290717107.61954147
EML3	1454510035.7174246	707832367.3456986	632212480.2003814	192429161.23696035	1590663815.6351824	487288400.66815937	559648175.8811824
EML4	3209614125.72386	1941513345.070019	2083927115.9848754	815749381.955662	524172818.9124631	1276528768.5759008	2465448374.3755217
EMP3	5762261.61584518	47165541.77185177	28971634.560505494	14347245.515795542	30243109.24553399	48837576.092287235	17871656.17545581
EMSY	121412671.94400722	94101289.18049562	68344545.3930906	59012634.729552105	152414001.37907627	46003616.85501888	98367579.55501659
ENAH	461490067.1122102	183984497.4832809	205104206.74151146	28590482.39193515	3616919.148154648	30776698.983502388	160142829.88080066
ENDOD1	84660094.73521996	86115440.88780268	135708138.37019882	93416982.4811805	66850557.84247969	196687171.08162093	102824107.06578018
ENDOG	17696402.3050396	90413677.91386884	148519892.69758272	333977421.22047675	61448668.17192314	52358223.80641473	89732995.49625331
ENDOV	5232472.993730052	4787162.669567992	6422943.64146023	15324505.783706233	2236135.006663357	6072302.60195369	24022607.834039122
ENG	3647533.9773109397	8256101.7521602865	5328813.3889587475	4220239.690975792	4811504.371744029	36830484.16133443	17016541.38542303
ENGASE	417991210.39749634	620231605.1781332	605681209.0128634	54063208.173802264	202104056.2603606	246698257.28690073	354788317.9203017
ENO1	571547353.7650993	186637301.2409648	133719478.96728037	486277173.771264	10906848889.706594	2493900636.80779	915147474.491959
ENO2	1365321162.9455945	1998114028.5557587	2161349977.4004526	204583543.026845	1575972342.708808	349816914.9170599	936268787.0582559
ENO3	40446427.99742676	11349636.06429266	6102606.010855091	5607752.514679764	5975342.339689208	4903372.5527272	10419811.453547355
ENOPH1	537211729.843792	369109317.3890226	405137392.5099028	351699204.7466297	469626686.2395391	301088777.8087676	591783040.3475931
ENOSF1	9035682.904720949	44509809.62289722	97839704.43970668	49582802.2620033	131146586.7314556	64908888.46992713	46463880.44098565
ENPP1	6526831.632265899	2124259.4813324446	4924642.416157001	1550379.3140382245	4303058.83828346	4825318.191663185	91599515.600183
ENPP2	3744646.956928618	14183564.872304888	12159960.79189928	3398061.4226712505	103830716.74482584	2562290.792822903	15326133.159857221
ENPP3	3270649.8547378546	2739945.774663198	4868567.6397319315	1571274.7474564016	3474239692.7406836	1872818.919044505	4285781.149559698
ENPP4	221401135.6182572	301603918.9839008	1754665526.093119	103216898.66990349	597158231.7735713	102970502.33872233	3618508060.404688
ENSA	517119473.54814553	488253359.4909113	463492672.6439085	442943348.7617954	841243166.4899225	547008133.9133623	302019014.74619293
ENTPD1	191088143.9882266	426048781.5559678	66635977.56335503	270220119.2640042	1458523675.8471346	282142657.8324089	35923751.6372841
ENTPD4	3079676.693709554	54265946.870508544	56204346.83465452	41106539.844784155	24277002.73622691	39231164.34745256	32400199.918814216
ENTPD7	4124535.673688369	2705921.077122347	1851702.0336486099	7014326.801736208	3944660.1667890586	2565288.265608444	1908428.3127755786
ENTR1	56893557.79327637	20223806.22482493	19620389.556956764	19191903.564712033	4695554.95200219	18104763.473310985	23422168.88832177
ENY2	210305684.4630867	205440631.21603453	203669133.0064075	64769698.25279334	179740810.0853654	221437221.84519204	136540603.7779085
EOGT	64153152.58338107	60164822.79799297	50622494.996297345	36263430.34376045	38537904.78104577	31365607.918795682	38521042.961216986
EOLA2	4955391.358298316	11824751.615379957	15929631.904475994	10168423.070858968	7123053.075720071	44982782.0092822	14781339.878066087
EOMES	34957614.26742075	59839454.25027782	1046609323.8497764	6090763.18755545	15072507.584685197	9888316.853806179	969292371.3813131
EP300	223287785.11569956	71200575.00306344	59936753.65821157	218303912.54351455	428829735.140289	97932854.49233812	72472654.87180184
EP400	964681371.8526936	453531982.15354604	368070695.5395159	274003529.7381373	570008772.6671458	212700669.5721798	313916304.53433704
EP400P1	12912168.716585036	4353614.264005873	2215803.514285781	3375933.2240290698	880450.6868829852	1486499.7459092399	2757835.0984817985
EPB41	70115754.10315192	143054571.44403487	70450733.21610427	51370932.51411655	58747121.91479343	76339292.18400718	81971855.09858508
EPB41L2	3165031880.585038	239105524.17571017	229402034.38872617	2249064175.824101	473366060.6642756	413341621.33182406	306611691.72107637
EPB41L3	354185753.1238807	335391084.4866212	429433208.7744035	558379533.974939	523704139.6573781	717952174.3970479	319149416.7763798
EPB41L5	11565934.92706967	3142171.7131794165	12646892.428960687	16705642.131371643	3558907.925249048	9843687.015475	11754378.795040177
EPB42	2930970.139084563	3402321.4720254247	3878498.232614266	5095004.184816519	2462348.2018346908	2187010.672633931	6949315.440076923
EPC1	112543540.03423353	47111809.08576199	38407440.48239038	20839637.386761703	55567031.52756472	53439938.79485761	40065772.58863698
EPC2	14659511.709117854	29145624.8707322	20733839.66745536	26074598.009252574	1541591583.8887036	34960692.54783171	18083055.543874122
EPDR1	16413255.206473943	19609310.73923488	16025486.000570187	27042730.527128603	64076046.961469114	21128425.290363505	13643051.421005147
EPG5	60253353.727274396	45158001.416586846	58777304.87738683	32472124.928868882	68975859.72923112	62908305.50798301	337011196.5104809
EPHA1	38653622.76005719	174031452.343101	84343522.88264582	28701425.10390615	32016067.974520788	30791247.81239731	73003226.99660891
EPHA2	22031218.149479676	11301398.8682274	13810437.073367957	65033057.159867026	31604794.268946555	3885326.328052753	13347353.229691625
EPHA4	11482520.973291468	6975674.232408905	4166422.9744940633	3482166.4041431034	5185460.633852523	9722237.2474506	15270225.040214472
EPHB1	2174940.5780800693	13900663.563376388	2664486.9858541708	15662617.595444856	2514653.0566492574	14309103.968438441	695556.8018842833
EPHB2	432867648.86927325	52078437.20664899	95831048.17423616	38341606.52684452	42217537.050485626	10552734.42430645	37065976.0118243
EPHX1	7936856.884849597	10281068.933662709	58628203.17075666	321870200.0401431	2529508173.2261424	960048872.764254	518528945.1118026
EPHX2	57462209.17765927	6162261558.838946	5425985609.173761	14057634.08219983	27878601.201814648	5288534.73677805	75742505.03004286
EPHX4	4792415.482368875	4919334.205481683	15475150.170904472	4123157.3823436555	5496382.742455445	2661257.431209141	21789196.62840597
EPM2AIP1	76156075.22526953	63923897.50646179	95209841.7127215	94714844.13065192	35486667.502878904	19851587.62305252	113943292.19532911
EPN1	234692418.77012646	170160284.20174888	115744363.9022956	147176268.14025316	240227796.00022054	393330954.03034496	134638363.33262762
EPN2	5784685.823011394	4112862.508572268	4181877.682174952	2170133.4789337795	375651071.38324076	9968571.575667348	39055137.125318065
EPN3	3836421.484650503	2703594.8328572656	1917773.6983113114	2073933.2420704227	56105906.269392416	3011063.5001427038	1152770.9019403176
EPPK1	2749643.7284611566	73196582.03727478	24313713.449639443	1762981.3148851967	13654870.116744677	5527682.005414299	3778638.4288500072
EPRS1	1793310038.4064302	947157181.9546584	1329620611.5247262	1103675154.1782854	2128865588.3452265	1486663510.3313751	673941928.3205287
EPS15	1228421908.9715438	846013710.848673	1167607862.0371737	374017293.46676344	1733183924.2145174	546545882.4281104	367524457.2338953
EPS15L1	1158940279.7785199	331455199.2679465	613230812.5133972	112952307.91723223	2102126271.33489	470013260.99515444	632738990.922315
EPS8	26055318.987877563	17144269.32327768	18251737.98350449	24277002.6817886	17206911.053199787	25982373.720178355	12959367.910433289
EPS8L2	2780329.3877971815	32636589.533412766	36971731.099607795	4389462.774215777	23818447.120922763	12305522.41155093	13955635.060071226
EPSTI1	17306657.277982723	3724097.047991608	5956091.192584876	3476050.6062180726	10259948.294207111	2988114.421579152	8812452.932997987
EPX	2898817.617964147	2657789.2875874704	14323855.450654823	20557959.22340452	392733702712.36584	17953213964.341694	358602.7594633845
ERAL1	94145104.0324102	29488385.709583525	35397939.30604657	1958770152.6121821	21539746.8420816	42523012.36576991	23983669.81218456
ERAP1	1132520020.398481	1936519496.98697	3740625542.907516	6205051310.332866	5412508199.680175	5726275609.253318	4231449704.985238
ERAP2	1377471887.9897456	6334383417.024548	5083672294.138921	1244072316.821109	664077169.5438328	6708240697.105745	6508204216.27789
ERBIN	871739385.6618804	566506160.7889347	525887140.71559256	351786428.96682036	351748610.83537245	384137646.76036435	662585066.4124677
ERC1	201101259.46393862	80039477.63663724	63206402.23866536	107383564.09320143	74930766.75402075	66704812.276454486	191032147.13488352
ERCC1	63338996.48141894	38330336.17901304	64714804.06883454	95443827.7379297	183122102.51643732	87868802.49617516	32173025.28288875
ERCC2	334502020.54578066	136356397.53233367	135298641.97380772	88096169.81102176	165058695.9404548	136286746.47086248	198582960.93011415
ERCC3	129171091.16848168	122815771.4620516	184322228.63052005	71683385.76703857	104031142.76906364	102280306.95564395	106598110.7253297
ERCC4	65062341.08067735	98175346.13963754	85361021.28299248	138478375.70804724	45381627.62798947	38242540.82840762	94388010.05622877
ERCC5	147197765.4928719	135761546.24877006	151733981.0565055	87813556.66384552	139356952.58791995	101243752.74468307	104520887.58620489
ERCC6	78005471.99675988	56854293.63046427	46245649.40790614	56590511.302242845	189046607.05524892	71786396.21630356	113019273.9748647
ERCC6L	73703929.20484012	29091204.960395716	28756752.28185553	36263969.128783315	289013750.0323288	310960894.3210945	44353140.06809083
ERF	18203879.58533248	15531857.087560045	25535243.140225302	33355573.999890607	16827104.563105427	15530084.562968174	20073227.282201678
ERG	4493914.714934617	3442413.216360131	2217017.670069059	4398323.023248734	4037529.4909705045	4966087.052399926	6971243.877760149
ERG28	152976003.71650422	153325348.84673494	130117747.17432426	121145394.19579063	81255031.67069526	49502911.23308175	120334105.70614432
ERGIC1	820358485.0752608	264528454.3937463	451199978.64858824	1079245878.335923	880959300.319368	815215123.8154672	1354006367.8547125
ERGIC2	109286779.12262467	109377806.20080094	116738799.44094077	334572261.6766821	146393177.99855044	117241961.009934	287837788.6700253
ERGIC3	96830317.3370373	78080356.98071621	84181784.98084933	251302645.5440991	68862263.46620873	167858577.41648436	127409906.1640767
ERH	5060271462.505318	3911737300.698483	2459757493.9085054	526731025.99110943	2893128324.17128	1301248010.4824796	3801468738.57926
ERI1	101212901.89034747	100487100.35544348	73650035.1636402	54140838.14856026	198337628.2536529	51609062.06059536	123611862.24422722
ERI3	204077135.15845042	80065065.14507	132123956.72776526	103867186.53737152	81056108.63719003	43337559.22955719	98264646.48617856
ERICH1	308756221.60901475	47201954.22661743	23224694.296575565	40460472.56671405	375775654.5796136	26946196.533423238	10908644.926792916
ERICH3	8099517.6903944425	16968676.59073306	25337058.365235507	21934504.55837135	24886478.125668455	28519557.060769018	30649656.40396385
ERLEC1	820375348.2573292	136297720.39350128	151213603.00668553	209641820.22139904	165941612.25266463	369135206.1728278	206514216.7966688
ERLIN1	50075315.21450658	59414050.25519006	67377262.17212424	266034227.7294814	1407888928.090105	1724791172.3857849	131843595.30208892
ERLIN2	533131928.1018921	212306515.48142907	211542458.493257	1105980688.3595266	1039447690.5248548	1891981497.126452	568841893.4916455
ERMP1	786476861.7408884	318665261.4395901	711824818.2645377	488021221.1167632	836009452.0007714	735323094.8987471	3819952237.1002703
ERN1	10738767.68666189	20656837.02846422	36906311.99777862	2914577813.251901	353350476.43209535	6211824.326178014	6198731.904502424
ERO1A	760623619.0773104	2138161919.9939535	1488338508.419609	1311677929.3752682	2202523556.180511	927705356.3936728	597881514.951057
ERO1B	24269736.55471733	31879393.2537543	23352808.1743093	18006529.266450312	128657976.35183875	18727134.801830698	21514169.293529738
ERP29	4758755488.983047	2521221324.371303	2845519330.8421636	7234207084.328438	6832168296.275443	3477568556.0849304	1337652367.9536219
ERP44	2190345227.685207	721709659.7304742	971781820.8408043	1224333085.1799297	1036388667.4110413	1849720957.866081	671066619.2271564
ESAM	9827526.183302062	46130781.531857386	40979344.198466726	5108969.107855165	23130699.212600578	127952931.83024989	31668503.7437204
ESCO2	7071315.663287181	9284344.906505432	43340933.419685	31091265.919043165	46442810.16053395	74435557.01016079	31775722.140822746
ESD	3520483601.462019	2298133051.050621	2751760158.625323	1612382726.6383407	2564516350.9497366	2640214088.0651093	2116537826.8923764
ESF1	184477540.3352271	192059241.97386327	239639752.8483545	59592486.82014722	287913277.68235976	68933737.16241853	140556060.16737527
ESPL1	2465858736.591422	118352860.3637148	59296094.3000311	133131553.01898754	3036750028.609007	1273445082.2031252	8415291.085758489
ESRRA	12241373.012706254	9385327.694204932	7301797.875295796	25021777.66690786	12452607.457007838	126798991.08356161	9884232.734338015
ESS2	65438992.96557733	55936207.465939485	65007723.54794349	50110248.912489675	362991204.3022023	37343487.8920759	49375712.811592504
ESYT1	279301518.9206882	890739035.3670515	965884068.9031836	212179290.4458407	1964542955.9867947	329388287.6611465	810756219.4796745
ESYT2	806857336.2256868	1845269745.5275211	2170475856.3855305	424905394.0276847	2122344510.2488823	813450123.290591	4535286980.52486
ETF1	415648965.1163712	536783240.8569026	597177259.6414089	483468904.108047	573141494.5652944	721199689.108619	541172013.4008151
ETFA	9328790177.002863	3154463729.511513	5860174113.965641	802255280.5689493	2144001154.1163375	2179714211.025396	3288559728.607331
ETFB	3565660546.2359915	1440818378.9493728	2857361651.9528947	464913237.3555588	1556240224.532097	1945523569.1353602	3008740143.3356056
ETFDH	325834523.5483804	216887798.52758414	254158928.4241952	269583508.9589716	293835215.94042474	625278372.8152864	368624229.3998705
ETFRF1	8021781.127322335	22412880.807381734	35995640.677159324	16546481.691291349	2746185.91948189	13211796.561041366	10459368.288824748
ETHE1	702250070.191235	1570913988.1738007	806013107.758185	1250031267.8594882	2489123295.165796	1417517392.5743554	1042441731.6254312
ETNK1	78900134.59744166	97812127.48418273	39323106.48829899	42269287.40527232	40966118.33606645	92693324.51708986	44189776.83410005
ETS1	247825509.9790548	336618485.4513105	370910473.8468116	53283352.262605056	342114726.33953166	39672928.27281537	326539152.06227416
ETV3	70227309.24563852	19521809.648795903	18727093.54406071	38613352.511655815	53173526.16432833	6835529.34204174	40180409.91201613
ETV6	167127018.96059123	92836769.2342396	44268051.68840082	376744301.0335822	130894496.12320091	142959734.56414247	292675118.58552027
EVI2A	20488919.99742517	9384587.546305563	14068779.310098864	8899043.9372087	2936190.1220245617	13077435.860599767	5414942.783937531
EVI2B	123222889.10643484	232001611.58168507	253480336.44982257	203748942.49312025	1039630195.0720102	977964751.0581229	259880870.74757433
EVI5	4628097.425642081	26981216.413389787	42282764.997243434	20597988.514443234	13565155.202127744	43022352.69580536	49235243.326562345
EVI5L	20103155.26532707	20233772.447283987	35453670.45848872	22397094.35980193	123727849.21282633	27003962.57106078	19752779.02760379
EVL	87111234.42771442	215051452.29198608	264292290.4695343	62445713.228982136	51814440.503625475	51253174.93867944	328251637.3073177
EVPL	42451379.18795411	183054715.72240624	58311649.79802106	105458842.90568243	52562463.35297379	44851429.96216035	1751904.7862524295
EWSR1	94460387.8219735	156411574.47972596	158242944.1628141	165843491.47429463	191098440.5205242	69015638.27067663	96342261.84846003
EXD2	64490184.13475435	56970206.49704344	35132062.96769819	35928655.45791949	91880268.38665181	140689547.37074268	44735390.722876616
EXO1	5652599.516664978	2145040.244510016	2423223.9501175648	3265546.5867395704	4186457.9328414127	3265196.4432729958	1876528.5309916295
EXOC1	388489431.99214655	200172776.1686867	237209702.8733337	182026894.68210465	368366443.6565795	293086264.2501306	202852149.267502
EXOC2	292790129.54257923	204142397.78137237	191091143.90574047	334763939.8152288	422044904.95969665	205486250.22704148	147922786.02467504
EXOC3	453987967.6798971	297395839.79424614	252010645.4209674	443831364.11544305	380773917.3357048	248178439.2004817	354015625.0539422
EXOC3L2	1800573.6663456433	85037127.98090406	504983094.5458864	116090373.83532846	169016132.64682916	181415088.98785248	176939777.27370816
EXOC3L4	83792415.16200432	13207948.62296575	45072976.57964336	212557094.09488216	111461237.31207718	759580134.0739506	23034231.820334613
EXOC4	467562753.12229174	239735074.4765642	220834334.68114713	384981606.57501495	664051216.960009	389556500.8140099	225342242.82457662
EXOC5	327490602.0414764	159662444.05411655	175605030.8774218	215203440.20133525	325538815.29978526	315215922.48615354	90398789.34272042
EXOC6	187317057.48989818	96725289.25891367	122183291.57340133	403414226.8802482	333020817.8728202	146697884.54850566	101160693.00224982
EXOC6B	35496218.51012563	75336239.54281825	81764504.64994597	29728931.782778542	49283349.598294735	68513014.8087802	20012978.677615367
EXOC7	227184878.50697568	178685345.38314745	200686408.88358858	270094947.790339	531138137.345774	278838628.9586031	86549396.84812947
EXOC8	498776363.73859006	141723491.38783807	265536778.5244052	315601639.4206933	406377801.2298067	208808846.9640566	150275903.93480846
EXOG	68941919.80680075	78115765.80539899	85411547.23249769	25341580.392386794	28933672.90548412	24516035.673094314	61377343.2972355
EXOSC1	266302787.57994512	137032757.2757231	315833769.8124794	105430714.90026484	84810583.39193822	163349494.24161738	127272182.78222345
EXOSC10	867372749.202182	606042436.0473815	953299119.1097769	106495436.8647698	277500126.81052256	290723274.94732034	360167793.2101359
EXOSC2	465323391.46443677	313335968.2668512	259658805.96240872	149012738.087229	258475829.9712907	252393567.30592546	202972937.11377728
EXOSC3	413996283.8048658	211206067.5931088	285823668.6769679	136134125.03706598	285744794.52329636	147273809.79189554	156419807.0499237
EXOSC4	446670574.25353706	276731272.3013993	281403055.8422055	239254006.19997215	178133134.18798885	282725117.2352169	158569415.72845522
EXOSC5	256637510.73008293	172630123.07936114	267063097.15670222	73446982.04035108	92965617.25331244	110987858.51444036	135212137.17861474
EXOSC6	276989267.5841892	235095516.46277663	218710874.45730284	145160247.5489234	104030033.32010365	202615842.90547362	83261993.21870369
EXOSC7	312064562.1303027	221317902.70353848	329148524.4532781	123150130.3746108	174344100.59137458	124514290.52334641	228638368.43676698
EXOSC8	399677054.127138	236996100.58099592	269081507.7299806	62966266.963228814	175232293.3450301	124794798.34343253	72333921.85074568
EXOSC9	270355996.29851365	168109012.9650566	196321701.44600895	82516850.92881936	155450738.84907365	70065918.07273191	109880803.72053356
EXT1	65332614.11071757	13799276.901856156	8444955.72339697	13765832.617823659	12807079.611639759	42341310.70595515	29416011.39441391
EXT2	102582056.15852413	54613121.22491685	90225465.61555754	17278551.382597245	27529986.286263768	85601036.36699356	31157905.58455395
EXTL2	79012549.43453777	47224646.09277042	94976915.98589882	77939212.71177773	73650604.57860312	30408925.15831426	58593765.29816082
EYA3	34674678.84726309	742713204.2007632	661376160.8670369	830610452.6295265	483054592.69281095	73566541.14192078	376012085.56172466
EZH1	169258648.73705414	54565197.01839153	40905486.99481852	56725798.90176944	101983783.97774956	158920750.51789096	48391991.942099616
EZH2	22136774.18285867	89234540.19201125	26106053.70246787	67924349.6323839	50845431.146764375	20887007.85472654	31691558.258980427
EZR	7466837050.8004875	8725911713.592497	11001169133.60526	5472049880.323009	6438359109.770819	5202803943.538282	1536229151.6937602
F10	70728347.19931214	680233886.9398394	91952658.80773161	126721723.8906701	215493530.070871	14176316.458831646	1411055.9134946817
F11	4638515.686540703	19345794.64381352	55062306.86064513	16302371.28334646	2134804.9560719817	24155991.046871573	34324215.13324269
F11R	101503947.94725233	141220189.40970764	197095655.6304397	111841022.26343642	276146981.86326754	320899338.59304464	58042789.15993172
F12	80664254.25655295	3734641638.6038537	635085726.0589278	830552418.5949464	976128295.8979268	477872951.1966668	42020852.43550083
F13A1	86169770.42871924	417205082.6353073	22118664.235686343	578694305.5608995	148572681.6504272	4127208442.8387523	48165021.41552066
F13B	22870918.951687325	2753195301.797065	342575926.619301	445060327.89214426	478360122.5495573	843141412.6202204	5040559.5267185755
F2	11178367702.270708	39104588260.09165	10833976718.180662	9302903263.054161	12619225652.571964	7839602685.491712	611712291.8479171
F2R	2592664.4164021155	1806137.8341169101	12459112.36263557	3168069.682243953	1491158.324986052	3413922.1680215015	22260391.09568542
F2RL3	3921267.523860265	3285083.4139289316	2260655.0567188542	5512465.973347867	2721447.438759638	5330907.034339901	1882508.5719949487
F5	3288346184.427249	4392312623.999375	958374739.7695324	542701597.6102264	931116795.053348	1009390501.3634605	53484828.007328086
F7	22217819.947522156	184214208.4479194	49239764.731360234	41809531.44204807	36524264.524242096	376837469.1141947	9772703.16721599
F8A1	135964913.4768681	94254570.5731129	98944465.17099337	120891650.91221604	274585072.50344115	177934456.60267612	70257387.85612114
F9	641858465.1545696	2276034029.193579	724664877.3965226	710558369.2462518	578881614.2358438	311672206.92439467	6875417.051846452
FAAH	5034144.557339267	244917573.02995494	54339592.40985271	1050916101.5945566	176617491.48217696	130744437.80274943	34735030.77998772
FAAP100	2442807.393806491	523611745.3491956	240941580.9735939	216371104.64028436	358371894.0863695	124701493.24857117	111148955.75119102
FABP1	292747273.77005327	2864410.3439739477	2730675.2057394404	3071355.012310507	26167830.791321695	10136653.088888535	1511302.5829167063
FABP3	22026098.469135102	22188069.634498235	2653611.3990481687	8196943.657140684	4916437.104956932	3923734.5038345777	14929594.479349105
FABP4	16564456.533176707	3188396.876174083	2663912.923213012	1694487.6513189015	20479719.899040386	61190947.524869576	65406799.40108745
FABP5	5220938864.763184	1087347853.2999063	1293084926.0704422	3445672797.2112885	4152710858.0668273	3389239269.210348	2263880993.488034
FADD	217423335.97397164	510211912.0922936	400206241.4826875	126588845.5007994	402395642.68604845	191501373.3537882	275146229.86076874
FADS1	3673471.1666351478	54606513.33710569	30384659.998751637	3170908.767208151	33039861.798758935	2686054.5335124615	10139404.505970364
FADS2	18426848.441131283	2967558.715698892	3215061.2149552363	2218370.703128187	11499652.842493342	5592780.56270263	3790585.51200125
FAF1	142767207.09375438	196330804.90206784	221819090.78124908	322878747.3118843	246062200.66014296	152265652.19035098	156613181.29472953
FAF2	283450618.8567444	288912607.2489132	270600117.0117041	276572900.4837011	366273586.03063124	240080922.30670246	298739054.967012
FAH	34333343.271590196	197574757.6813987	305407384.68121713	525617295.0820745	842703170.7537601	1257759976.470799	474374967.58331573
FAHD1	375274084.0648465	263009873.39860117	471343025.0294603	149043377.92293712	98914756.67871653	331464897.85907024	312101700.9176212
FAHD2A	155825447.36080402	122278682.69077414	200635626.19479686	274678089.3283576	87570307.81517926	125771120.53183964	206780918.3984738
FAHD2B	3924356.929826353	19966467.53479719	13411920.760313263	2435680.241611243	2793181.504167034	3532963.723381754	3646906.2642675256
FAIM	76838937.41402222	10460793.59817807	3363741.9204450063	7485380.007370014	8343542.228278567	36991697.43452938	43398957.86795768
FAM102A	5226497.53070284	108411156.78263934	194804628.50482565	66903335.072529025	23336082.990969602	36056986.26136014	19018283.865539685
FAM102B	32591725.24371244	29903186.2428435	25528442.855638802	48148443.9150461	95372783.3161795	32710187.513395943	35479686.72470891
FAM104A	69839361.62135258	24914399.66315222	10259483.00149282	22630116.24274271	16138337.927410543	32738599.081134994	8322802.297982498
FAM107B	1489089617.7291455	798840216.4944386	1049257072.307992	292452561.5680255	875898823.7262838	299985033.9296391	1312708933.988246
FAM110A	1495589.6124585764	24690153.083763063	86792475.67605475	10107594.525954964	363146126.66064066	29863423.893144872	3306962.900837629
FAM111A	47198874.957837425	119687650.70723991	74387723.21558015	214002104.66493317	226424415.13496366	90196501.85645185	86065443.88313368
FAM111B	382111964.5166092	100301454.90974589	102077320.03596233	554943149.7940916	3171329471.590025	139173956.8244414	164926558.312064
FAM114A1	2658521.624428851	10484405.489561923	12433920.420898642	27306196.81974051	23183444.690501086	16320669.604985513	11362504.156732906
FAM114A2	601654588.1001155	257523167.50471663	234010710.38102975	417940350.4618975	628461488.6836107	256330020.9567097	196430294.0460979
FAM117A	11894659.627173841	46676920.133006334	43119891.946692	45462383.32198849	83194487.93404725	183494820.61038134	34049468.84325066
FAM117B	41904820.47660817	20550858.587303255	61338982.99717296	43757089.483830005	67928181.99332544	47516441.16734928	45956243.67465255
FAM118A	83315287.55114017	61577010.96300324	50919654.743788384	71891950.78882872	5731673.606767736	27124348.20200967	10785332.923608541
FAM118B	54058168.20061586	16691105.782364225	33727410.553387314	106796709.95573477	42959553.80102689	184904156.42416283	27142932.411318492
FAM120A	1421331284.9479487	507838252.58717203	735746315.4699203	732823713.9299275	1137051509.292635	551125231.0204304	873312747.3370612
FAM120B	198291660.517853	287119241.2053113	345576594.69522685	189544930.3080746	282172198.3394461	151240432.4497153	171735072.61380464
FAM120C	41282774.89113781	31359651.70097074	58487091.19799865	43707095.14285346	26007494.85822359	23090407.54097099	39609916.769225694
FAM122A	382576119.32199776	41459884.592846416	16917123.535177402	42431055.725941	1917562.0876050687	30728369.0057059	20515354.617740326
FAM122B	15052480.276627533	15846779.649023684	15395300.178189564	21978550.861416377	18111320.115412563	15518782.4973112	18217419.462937783
FAM126A	317421753.3198335	178399112.23192963	66355165.21323647	254369125.77462122	220687331.46371368	118542201.38816227	86249417.50689404
FAM126B	62170774.12382476	63345356.64577948	60830675.856190674	62419699.86418812	114291014.25240687	37155271.40210902	46248177.12281392
FAM133A	54697189.71086088	40772381.54704165	21496040.645578217	18827509.8039244	55715873.60022184	1608156.8792678039	27032946.32216365
FAM133B	54697189.71086088	40772381.54704165	21496040.645578217	18827509.8039244	55715873.60022184	1608156.8792678039	27032946.32216365
FAM136A	723681040.1829318	100350758.40639156	81597455.50966424	202558436.22041073	312534665.7289982	221529741.27083904	141307850.6915123
FAM160A1	2237078.875474044	36174511.71099577	13971228.960724153	6293554.286281454	3054213.288152595	23015262.652643785	3551256.806804923
FAM160A2	13619382.833204543	102231897.06514849	61481988.91946515	49040872.067165844	103863153.82790594	243401376.2720694	112391491.96233588
FAM160B1	120411063.4248275	379990276.4670653	214725620.11140865	129465893.89705034	309016880.284198	195437035.65549773	149782679.50341225
FAM160B2	30408546.919211254	85514638.76585169	65792293.90374069	39938998.95184914	258045849.0676032	66626373.82385835	24233634.643366404
FAM162A	305431090.7305033	527634699.7535353	696197186.4023055	348662605.6030206	224433694.6961888	339377171.7320718	376710480.1216858
FAM168A	11549228.771962788	14301287.551126663	16296370.97898864	10358605.897902241	11364051.660402536	24339866.164964534	21376172.866165146
FAM168B	5587971.796611786	10830758.94340995	14756819.694112912	10810253.349846235	13162537.71598676	3002114.845696207	8957600.970510844
FAM169A	1002095079.0125176	655049543.5009489	1046925125.5522354	66585993.01779053	17915542.412327655	56440502.69171391	1077199411.106078
FAM172A	234091142.71634632	73748440.56211756	89382311.79543999	26212974.817076407	93678035.57746479	53588229.19186114	119468294.19710252
FAM177A1	29169878.500970293	93940360.66572447	18729288.96195884	36359459.94406826	68861114.1838352	56030370.48219948	43287133.313795835
FAM185A	5126160.604959943	2911404.5318372115	2713932.982453225	3942428.4278921313	1643236.518331839	4275282.525423152	3653147.719652958
