gene	B cells	Monocytes	T cells CD4	T cells CD8	NKT cells	Dendritic cells	NK cells	Megakaryocytes
SH2B2	44.7210927371335	11.416305391599	2.5062731386766	2.3621201433801	3.25974387447524	9.55325977000597	2.47724465492441	7.40958268462305
SH2D1A	7.54927142932394	6.8127145944935	55.5001788665173	107.030103642954	131.298254256255	5.3734025667284	160.814783576503	24.8540531435276
SH2D1B	1.96007465644549	4.77557621290392	2.27015045089634	1.45795447638899	2.14247588233412	1.80718589168211	138.893909771137	18.1128378786144
SH2D2A	4.46765367520109	2.99174112527447	15.3001765708195	20.8256878764579	42.5127683677707	1.77012648557399	66.6666801910493	6.48074340803588
SH3BGRL2	1	1.09292619764213	1.24189934579617	1.22365570619513	1	1	1	115.016018983959
SH3BP4	2.01526949819879	2.21103450309142	1.23396672805954	1	1	8.53915184956892	1	1
SH3RF1	2.61051970232345	7.237506672241	1.33077585486173	1.66671323625124	1	12.5720469678138	1	3.02926607533853
SHTN1	2.49897608457507	39.1522815989423	3.46534461619806	1.74173042320394	6.01784775694895	66.5672719327858	1	20.2555811228808
SIGLEC14	3.8259952149839	16.3380236102602	1.06386530449636	1.23957145458204	1	13.2345290740851	1	1
SIGLEC5	3.40157878200682	8.21540017391088	1	1.29699959132856	1.62755257007879	12.8024146288563	1.67610509377578	1
SIGLEC7	2.09088300992415	22.3556096897934	1.88146042337444	2.55738783534627	4.88601765974225	23.4295155704176	55.4035874149792	9.47920276210572
SIGLEC9	1.7925417614398	17.1603548526633	2.22271570789787	1.5326265733789	2.55638615695017	23.2398224117635	9.03968970744378	14.9946057219334
SIPA1L3	23.2872142771176	7.94733999207454	4.09956328163239	5.91614365939247	5.10629932647485	5.0217931520374	4.9086708230886	1
SIRPA	3.06235603641461	44.7604855595808	3.83200002570637	1.70489495167797	5.13653699870606	39.8153839844857	1	19.0381520873161
SIRPB1	2.82242871277871	64.185093941213	4.93486778894082	4.55572837796848	4.83948843886991	20.7024074385143	5.09934365445801	21.1867668063789
SIRPB2	2.38866366343729	11.2524622240939	1.88587206997407	1.60425361102165	1	5.26078595354189	1	7.27262063817643
SIRPD	1	4.78669730609774	1	1	2.60188638140274	1	1	9.85236553733746
SIRPG	2.88423664930097	3.06709981087365	30.9793938436186	35.9550219553103	21.2022302555136	1.82809425700071	3.06914635710049	10.0843859699374
SIT1	50.1573061695032	9.69834731248607	74.7908078736442	67.0154264695302	77.7735888141957	4.04128572312877	5.90530488182461	16.6342932240939
SLAMF1	15.5164468051074	2.80030063637907	13.7951289733119	10.5948555744603	24.5752212590569	1	2.55291559903719	1
SLAMF7	3.79806516997843	7.37688195294559	2.03626403742576	17.3446108565989	35.8439283213365	17.2308923252991	85.4768717897248	13.7712331843978
SLAMF8	1.74009632696005	2.50714472669032	1.29294449053438	1.37297623097075	2.24142794007379	11.0554894704085	4.54150287215883	1
SLAMF9	1.07508654099282	1.25888235513147	1	1	1	5.39181498004344	1	1
SLC11A1	6.35791866632746	121.091696808071	9.71661100979207	6.822929125574	10.5230540344801	21.3655683402593	7.00288203641242	57.0484555282309
SLC15A2	17.1983981732736	4.07204731593627	1.36247801570835	1.95082101557924	4.59279192488014	2.85706925550369	2.75265176211608	5.1072147334007
SLC15A3	6.7396905899365	35.6568344396155	3.39848561507047	2.1678114914763	3.22533354448593	24.1614797012951	2.10992349297363	28.9594844633391
SLC16A10	1.58545200072041	1.83746410980555	9.73666894273576	7.1445152087824	1	1.691844263089	1.92727046810468	11.9614868160717
SLC18A2	1	1.50024026869167	1.36210908554386	1	1	1	1	18.6011723019818
SLC1A5	7.71648350585232	21.4912711250988	6.0294446832906	5.72815594508142	12.911542742841	54.2177018108373	12.5835159948242	13.6978163382331
SLC24A4	3.01720084912696	36.0141700150561	2.52534337311042	2.06899201046353	1.60562895778524	11.8423208126382	6.35719215468418	9.30188671351496
SLC25A20	4.7833729227759	10.7589607185989	8.67125866326011	10.2437016533576	19.9512159853791	16.9220794887423	46.1138449267048	1
SLC2A9	1.56108221537702	7.44405457545103	1.29779080910358	1.56063482696616	1	12.2737029037143	1	2.7893729142622
SLC30A4	16.3166722360443	1.71882483914398	5.67054364734251	5.07957026317435	9.29719130921707	3.38086868811411	12.1181491405638	1
SLC31A2	4.39163205394145	53.6918886628094	5.5215184480054	3.66197909016686	8.48428177723383	67.2443463813669	6.39446665527076	25.3582650884638
SLC38A11	12.4060517369402	1.29031351537152	1.41606298216809	1.79341453175427	2.32948315013056	1	1.69663012145049	1
SLC38A5	4.32301352046154	1.8099878751583	9.5998386799134	9.12181760220283	11.3858890340171	1.90821901883283	24.4502939704558	4.74481343339476
SLC40A1	3.23194946686541	21.1513018141071	25.8475297737665	8.67929210661651	5.59678996478601	35.7140586706181	4.19753612303285	374.653549063487
SLC41A2	1.90707428797728	1.93695838453261	1.22542597619592	1.35194587354022	1	15.257599674649	1	3.50790617421421
SLC46A2	1.17469146866262	10.777331665598	1.35428127665967	1.80102508928834	1	2.75166871166799	1	1
SLC4A10	2.10639148551028	1.51337503521928	2.29202783054423	1.32463716926777	80.2754442498051	1	2.35221018755155	1
SLC4A3	1	1.97287093309522	1	1.36963329420149	1	13.0554147075861	1	1
SLC7A7	18.5711863133621	162.805677792944	8.90554702889906	4.79172712371991	13.2007160517358	59.5255905086751	8.47992020663144	68.6479741809719
SLC8A1	1.87946950456472	41.2451375697875	2.856584508161	1.85479251050859	3.42318503440923	30.526073668783	3.10298285153849	17.1372084411745
SLC9A7	22.2894545825275	4.40528531257012	2.4874132461861	2.11116762873543	2.28057369701626	11.5300673249351	5.11697139680059	7.05740535130872
SLCO4C1	1	3.44234569983194	1.16411710740316	2.37843677142766	2.18957551187434	2.96124103249989	18.8737188144173	1
SLFN13	4.77659061934581	1.68578486638063	4.91840629631183	7.5100943344238	10.2361664536202	2.792196715311	22.5199197773092	1
SLITRK4	1	8.73079184219945	1.14154654319279	1.34618784363138	1	6.40281754261745	1	1
SMARCD3	3.00271967743875	39.9296647768075	7.12334897624114	8.29888410472203	4.04542841198082	13.0614732087661	2.28580212322304	19.5716393174689
SMC6	68.7481933881504	14.3358311692677	12.5249727393134	14.5606276535241	16.6694353365402	7.15153183705083	23.7962543455253	18.1800715434957
SMCO4	6.07790958568657	133.464728524275	11.5331363782622	5.92904087521114	12.2621745267192	76.9137901993368	12.777263288551	45.243507979693
SMIM14	179.472105057407	67.1491732487389	18.9958514768872	21.4430500670618	36.3169912715834	58.6654280409637	40.7714349106436	39.2304367726186
SMIM24	1	1.091599652361	1	1.25620909941989	1	3.77816363383803	4.17071411669547	32.3309784533381
SMIM3	1.75094530960959	9.57572041984284	6.14013399113642	4.38445302600123	6.18048014540307	9.2913055787382	10.0335793210735	170.199016023002
SMIM5	1.40860338952856	5.82853762018404	1.50783524110124	1.36142927138653	1	1	1	83.2174359080192
SMIM6	1	2.52580549611881	1	1.26442280995774	1	1	1	7.73550351256509
SMKR1	2.0279220798227	1.31412508668968	3.30078373327903	4.89644451370011	18.2232877813733	1.54681382520331	26.7309598119256	1
SMOX	1.07508654099282	2.04478684589259	1.15094089003805	1.24758456498402	1.49131454153475	6.40479397510349	1	163.359800676967
SMPDL3A	1.3719343036856	18.2841730702579	1.45554897245578	2.13882406566296	1	3.21570857828489	3.05214079327554	5.38665754241897
SNAI1	2.37733278870764	3.33702166019418	1.43597178481994	2.57019592605191	1.78236976672863	14.6763178010824	1	3.67034105595967
SNCA	2.16959436649527	26.2711568983821	3.34801865624688	2.32705523614195	3.78727421605983	20.8648075569324	9.69820629930124	143.065641616167
SNN	37.4420563275679	29.7155152585042	17.227922369061	18.4063501580903	13.5708414963489	28.837162827926	1	132.543901611303
SNX2	310.708916039953	124.892032390186	43.6970060141828	40.1741917878111	45.5222303547335	119.978425833955	50.6622729512895	112.251878931075
SNX22	76.7173773002313	5.2908021593533	5.21378312255245	4.3604132169072	7.03018864439005	5.49742346954237	3.21838085854495	9.52487642682729
SNX29	68.0443688129774	20.6253737390307	11.9552254266373	13.1176709829178	10.881888598803	12.0209543256268	16.822455957074	9.01284587044127
SOBP	11.4547126218597	1.10621827260197	1.32676021737777	1	1.30082063870238	1	2.57109684555175	1
SOCS2	2.52808851288444	2.48468584551754	15.3466061688011	9.04817431033833	18.6514744595624	1.55812915108556	30.5438884465116	30.7057921339303
SORT1	1.65127979330209	26.8430955489735	3.13770516186847	2.49116294142001	1.56079336559017	17.3827509924136	1	35.0232912415654
SPARC	1.20713994830616	2.37757912158092	1.69942693415967	1.20565172058512	1.99342353619042	1.92696275092882	3.96657480478884	399.754713728415
SPATS2L	2.09276462702529	7.38940754053844	6.50580007131826	5.16109687891522	15.6886100925309	44.8864921835475	5.38739601066854	7.0866520027386
SPECC1	4.6024855481476	23.8691476176329	4.48431561099374	5.38425009499371	5.41060242971507	55.7154137012182	21.8465085622055	25.2893043588035
SPHK1	1.49947455277049	9.72908349837571	1.28834680447789	1.96436167372694	3.7776851882715	2.93631251452493	2.00469393004115	57.5866349574441
SPI1	104.028354549445	503.180185477837	26.0701362077782	14.291849913348	34.3127362446389	554.730500328988	20.2667940437717	194.644574522558
SPIB	162.748232634664	16.2904032998272	2.67229527598059	3.73641645601243	10.4147590070637	17.1811810550069	3.97916964583631	7.57341232748974
SPINK2	5.34690034112645	2.69510303271903	8.14974485437775	12.1116889033056	3.46562967836326	21.3211154631902	28.3860168555838	137.087855909831
SPINT1	7.23985439086978	12.9957183170686	2.95244711330775	1.95933091095636	4.81610858296761	32.6944153018034	1.47399520127258	5.2070012915494
SPOCD1	1	1	1	1	1	1	1	16.8998733784895
SPOCK2	46.134568346049	14.4385334701647	163.247534375525	157.094098787139	224.340817642123	10.8212672582696	87.4443905326248	41.8854551373384
SPON1	16.6714599871906	1.61891064512325	2.90905998605703	5.78869640446186	9.00747483686171	1	12.0912382223382	1
