NAME	B.cells	T4.cells	T8.cells	DC	Granulocytes	MO	NK.cells
PRMT7	3501176.01055615	13366338.299723	21822999.9916028	60872999.9259654	5877732.22858994	6630918.46909106	11325458.5657395
PRR11	5613665.09742041	5565496.04406942	3514900.60084051	26381499.9381625	3570594.517628	6081305.44562339	49228999.9573814
PRSS57	4169799.73452814	5022619.59720609	4713352.26565563	3870265.43615829	703915001.387119	19748000.0093797	8230529.61515148
PRTN3	3251150.00205189	1066449.99955358	1350999.99807768	5138050.00624516	16882500006.059	14131499973.2464	883224.999963678
PRXL2B	107399999.915798	575289999.20488	546045001.203786	25989299.9710761	25016506.0635512	74909500.0545364	167485000.144702
PSTPIP2	8025917.16535036	148404999.90987	168150000.151444	349404998.993796	1692400002.68796	696715000.122254	193495000.140409
PTGDR2	5179497.53940762	4891454.48144347	4523319.02595888	3087495.97059771	1636350002.86879	9352483.36487542	3737729.74721418
PTGR1	6788592.39729601	4526079.97884686	18157499.9924102	49289499.9965246	9092739.07849427	60118499.9191222	52436999.9218557
PTPN22	10830874.386721	110090000.074509	270610000.637052	83508500.0470378	180600000.241423	79896000.0642788	335774999.841854
PTPRCAP	3705349996.61392	5681750008.03751	9461099988.37496	599769998.466719	64661999.9770935	9204963.53988257	4468599998.18567
PTRH1	36622999.9925928	52858000.0524227	112450000.020602	21520999.9704799	6810701.24806582	60978500.0341888	37588000.0046522
PWWP2B	61164500.0251116	4280641.64677714	3781168.63519056	74569500.010235	4793297.72018947	17470033.7293185	182280000.05395
PYHIN1	92295499.8902622	2476600002.02834	3757949993.41474	4264749.99275889	14753499.9932494	20030499.963831	3252600000.82699
PYROXD1	12039635.6410193	90645999.9202434	71791999.9883245	45273500.0204209	5925265.55385848	4243533.78197043	84080999.8612286
QPCT	3851298.75727674	2734319.62076507	2017425.07349594	1883049.99881134	8429668.53901674	5633099.99879004	1649179.49381547
RAB27B	4405081.99709373	6279900.01278012	17140000.0226208	4893399.99868217	5891159.20244057	280280000.405675	79369500.0674698
RAB30	938779999.606117	7288589.91992628	24292999.985839	41683499.9081692	26948000.0620501	9091633.90120202	23666999.971686
RAB33B	51717999.9637325	45710500.0868975	74428000.0195118	62403499.9385802	197545000.605783	68677499.9204946	32830499.9218079
RAB34	23924500.0351716	14591746.0217995	15562650.0347071	1032445001.68756	65874000.1112261	866349999.85184	4955267.22306374
RAB37	23942500.0092204	111630000.089177	204024999.948734	3437318.23591123	3335749995.18205	309959999.729609	724459999.204536
RAB39A	7745423.7757041	5853978.12065409	3916733.71727463	17193811.5649838	4320986.84761985	115147500.341866	4622479.77547651
RAB3D	162899999.912304	132349999.726059	96520999.9003108	312703299.692979	12630499998.6363	8190599987.90502	246660000.186467
RAB44	1906500.00115725	1042994.9993459	881749.999186102	6101849.98803493	19610999981.7168	2051099994.62621	1991309.99641542
RALGAPA2	42225649.2738688	251454999.754314	202649999.914735	303055000.17251	1194099997.64883	576854999.844587	237949999.884366
RALGPS2	4740249997.18424	8194099.97979657	12048000.0148509	81698499.9234823	34458499.9238428	22973999.9762968	14652039.8580223
RASA3	457689999.646146	2489549994.61028	2548149997.04893	51120500.0365858	94875999.9627768	704754998.983949	2978899995.6583
RASA4	4985642.70849758	7934815.23087244	8664081.33338341	331275000.299307	58364500.0472224	74573500.1201898	5028221.28215887
RASA4B	4985642.70849758	7934815.23087244	8664081.33338341	331275000.299307	58364500.0472224	74573500.1201898	5028221.28215887
RASGRP3	11809548.0125903	3851154.62584819	4316860.93542382	4757798.11193784	121710000.031727	6619682.61485159	3512107.8654246
RASGRP4	4995009.09826511	6150934.27006136	4581505.91573782	81900499.8799043	960960000.350218	526264999.798116	12401500.0172928
RAVER2	4296911.30945351	4142865.2561372	4160759.73917174	59378499.9499313	72340500.1544062	3438897.83473642	1647169.2876656
RBP7	5130854.51266107	4521975.94006843	3502802.88655949	6109896.6818399	8093377.11432998	769785002.156341	4098499.76807253
RCAN3	7680164.41872344	356090000.513836	158434999.788516	39936000.0051157	14432337.2711101	4525817.50052943	17828553.3958939
RENBP	118532999.709984	26566499.9941036	53485000.0843008	70144999.9466709	530310001.151304	1160899999.43113	39259999.8959634
REPS2	61026499.9833632	11335910.8701597	45830999.9972259	134105000.409912	171685000.06471	85142500.0388308	62039500.0023171
RETN	4504765.93802272	3073302.23042802	2569322.6396179	3184180.69206206	531900001.212545	29836999.9814679	4022476.16679208
RFLNB	6189338.39063532	185089999.689116	140870000.068916	167699999.643754	828675000.900075	366099999.345736	170345000.078498
RGCC	6096326.45676893	40554500.0381528	13433700.2967512	5185533.67518542	4784617.56870885	8136075.22368777	2017093.22387041
RGPD1	34082500.0166906	4514305.12626944	3308146.70040866	1827399.99964405	6787160.11692814	4208263.95442138	4825432.43878898
RGPD2	34082500.0166906	4514305.12626944	3308146.70040866	1827399.99964405	6787160.11692814	4208263.95442138	4825432.43878898
