gene	B cells	Monocytes	T cells CD4	T cells CD8	NK T cells	Dendritic cells	NK cells	Megakaryocytes
EIF2AK4	10.27123716	19.33075318	9.1702962	11.13277443	10.15979036	51.13547391	11.11780304	8.896069457
ELANE	1.468930098	12.93566371	1.702796868	1.351169852	3.9614888	1.823202455	1.736264254	1
ELOVL4	1	1.227914618	2.483578904	2.425788684	6.948631645	1	1	1
ELOVL6	1.565019634	1.396907613	2.146108668	1.853767587	4.27924269	1	21.74748622	1
ELOVL7	1.30620003	1.156186769	1	1	1	1	1	20.84481356
EMILIN2	5.755318442	46.05424256	4.191570322	3.542952061	6.455861759	57.16239766	2.697700634	17.51486333
EMP1	1	2.674825541	1.769273483	1.412110782	2.477253254	19.51959668	1	6.676419139
ENHO	1.932140161	4.887240102	1.784234867	1.935314388	2.670207507	161.6911044	1	5.650931272
ENKUR	1.075086541	1.19546983	1	1	1	1.885937339	1	114.9282762
ENPP4	4.12517982	4.118681701	4.279064213	5.795921641	14.55142059	6.110461818	29.92622717	7.572153801
ENPP5	1.18056806	1.240740981	1.771685592	3.809831896	9.286261215	1	14.63606992	1
ENTPD1	32.91538451	81.98591681	7.214030183	2.380858213	6.004184249	66.79894526	6.21049296	17.51359571
EOMES	2.084906971	2.536989405	3.484644081	29.95263022	54.18726466	1.911876277	72.38590363	24.08204278
EPB41L3	1.593770634	29.35050779	4.24126787	1.896075277	2.191627722	17.4061882	2.766272482	18.58199758
EPHA1	1.303831313	1.171816169	9.104847489	9.300736124	1	1	1	1
EPHA4	4.07862286	1	5.463018025	4.300405922	5.640365743	1	11.84512899	1
EPHX2	4.400343746	2.122828389	39.18656208	31.71817686	6.768281859	2.467472015	6.901452878	1
EPHX4	1	1	1.356202373	1.997290381	8.269208843	1	2.724738616	1
ERBB2	4.42678177	1.504811886	2.358920454	2.606279681	5.637295474	1	42.13173731	1
EREG	2.764110951	41.51316659	3.638471826	1.76954954	9.663536679	52.38498132	5.368054712	24.70680275
ERG	1	1	1	1	1	4.501894988	1	15.17201332
ESAM	11.29830025	2.002655809	1.606103343	2.073626917	1.601228912	1	1	249.6982589
