gene	B cells	Monocytes	T cells CD4	T cells CD8	NK T cells	Dendritic cells	NK cells	Megakaryocytes
LTK	1.588442172	3.012781544	4.229348649	1	23.90786114	3.798169271	1.935137026	1
LUCAT1	2.145519259	15.24989321	2.140352415	1.647355139	3.383922095	2.684420458	1	18.48802546
LURAP1L	1	1	1	1	1	1	1	18.43557555
LY6G6F	1	1	1	1	1	1	1	83.8739643
LY86	229.7129299	236.2880687	20.06909064	10.33313972	22.08901299	316.8184265	10.30166053	119.784721
LY96	22.8866729	181.3909003	24.16124795	10.04005967	6.350287906	83.95056694	9.488160907	77.21059015
LYAR	27.28164628	30.41943113	68.03828288	254.5597026	490.8186499	30.94778989	249.5798196	39.16725071
LYPD2	1.738203927	24.4439646	1.642606118	1.465546877	1	1	4.67901879	1
LYPD3	1.703882614	3.409482051	12.50731072	15.21946946	5.91730171	3.343766885	4.128608685	1
LYPD6B	4.888706088	1	1	1	1	1	1	1
LYPLAL1-AS1	2.003407182	1	1.152162534	1.183262087	1	1	1	20.93620415
LYZ	347.1524674	11786.24702	536.4803873	307.7165219	628.6718658	10205.43041	415.4928691	4666.05523
MACROD2	27.14933956	1.125031352	1.590280147	1	1	1	1	1
MAF	2.168434454	8.761473785	18.05982777	7.799023998	33.53061079	3.778163634	19.78373775	2.789372914
MAFB	8.086502669	105.46928	4.108974799	3.846273806	5.975744064	16.19945195	6.446567862	52.11852939
MAFF	2.833673145	9.418830179	7.726276359	7.917384615	16.97583221	12.55725851	47.80709018	21.59354777
MAL	12.14648221	7.75760589	151.49373	78.80360635	18.60648566	4.935408341	11.47318896	43.089073
MAP1A	1.362871078	6.241163648	2.063074646	1.464954364	1	1	1	43.94580124
MAP3K7CL	9.134093763	27.43792438	6.706510427	6.315994442	7.002768354	5.216168821	6.764647384	701.6477073
MARCKS	45.22062192	190.7099874	8.361329311	6.466495141	8.52068681	60.126047	3.774808732	51.88329941
MARCO	2.955710433	33.47324084	2.266941358	1.512827262	2.31067783	12.39552136	1.358531655	10.93767976
MARVELD1	1.087492853	8.366613413	1.682266728	2.153752567	3.706021199	13.02369431	1	3.994666499
MATK	8.354980948	5.062515584	13.9061653	68.07852983	159.7550116	11.26384408	413.1976316	26.26334027
MAX	61.21187821	51.78164582	72.85019627	73.48039225	72.31514998	50.29101128	80.42632927	467.1731906
MBOAT4	1.087492853	2.103868947	1.213480618	1.063663822	1	5.979364351	1	1
MCEMP1	2.664023245	31.54607434	2.210407213	2.06975042	2.053558711	4.116775081	1	17.73889627
MCTP1	2.517499975	41.11638871	4.150979672	2.273368585	3.719135098	24.31966305	3.850090374	87.83982546
MCTP2	20.39526531	3.940146475	4.461037673	12.43348531	15.16224893	1.660161872	66.18760324	10.30140927
MDK	1	2.138433774	1.55069265	1.847886318	1	1.830752462	3.148569268	25.97009813
MDS2	9.498261691	3.276992562	28.81881937	15.83650038	5.002815052	1.926962751	3.492601941	1
ME1	1	3.233089169	1.296954612	1.09203271	14.90120898	1	1	7.272620638
MED12L	1	1.802983259	1	1	1	2.817958324	1.710420015	8.7343688
MEF2C	532.4491558	196.9170425	9.502710748	7.182307661	24.75415082	163.6325073	16.08542493	106.3447697
MEF2C-AS1	9.038657969	1.588737836	1.256448526	1.113845451	1	1.848588119	1	1
MEFV	1.71063811	22.1838986	1.927444482	1.235122734	1.737713249	10.82270678	3.289628897	3.029266075
MEG3	1.924539977	16.15692826	1.793804171	1.94893777	1	1	1	5.355761147
MEIS1	1.126676051	1.137916919	1	1	1	1.67067102	2.421985604	93.04824109
MESP1	1.473340964	1.809979394	2.255162671	2.139754681	2.913028602	1.858372046	9.324116995	2.789372914
METTL8	59.11132182	9.549433998	11.11117669	7.57941437	15.54919086	8.013371352	6.333809511	5.107214733
MFAP3L	1	1.342840342	1.229399048	1.271830134	1	1	1.744433129	50.94557249
MFSD2A	2.412216401	5.900425103	1.747660239	1.077115962	1.605628958	10.83985196	1	1
MGAM	1.178763983	1.337657671	1	1.208774979	1	1	10.44449021	1
MGLL	2.688660924	12.34144982	1.552838126	2.963116354	1	7.913677363	1.710420015	42.10649253
MGST1	4.849461509	180.0732873	7.017784414	3.426188202	9.517420276	104.9208856	7.032744044	117.7369535
MGST2	7.923971589	91.87988991	15.747743	12.51506505	14.85712795	135.5470944	40.97518639	33.97848611
MIAT	4.425764108	2.839788661	23.08672466	28.9551058	39.05926512	1.807845798	17.8412397	1
MIB2	16.44346509	15.24123435	28.40865976	45.44924607	42.99461597	9.971359433	115.1519281	10.68569851
MICAL3	45.55583024	2.61400856	7.567841952	7.326135248	8.533426705	8.466303267	10.1189691	4.028788636
MICALCL	1	3.527562554	1	1.475843187	3.163566246	7.978182751	1	1
MIR181A2HG	2.03963921	1.535392603	1.419298952	2.01080171	1	1.872426777	48.49407111	1
MLC1	1.531103548	2.198340443	1.47409226	2.111693053	1	2.093187692	33.40010621	8.126934893
MMD	14.65825727	5.450249808	8.655133972	7.979058286	8.47038882	6.600111231	8.779273946	545.7782988
MMP11	7.330281536	2.096885558	2.395429077	2.917389773	1	1	1	1
MMP17	21.78023078	9.680610067	1.692191027	1.615071742	1	4.229870572	1	3.61458415
MMP23B	2.184740285	1.798220784	1.753786678	9.226832577	12.97469824	1	58.31130197	1
MMP25-AS1	5.867442636	3.833373638	12.05356514	19.95346924	25.62438589	1	59.09034384	1
MMRN1	1.962151355	1.44753919	1.534463439	1.290791844	1	1	3.45148511	22.03231705
MNDA	39.43823709	1262.969478	54.65859572	27.37005013	68.95796062	791.4537201	33.44880445	678.7088638
MOB3B	18.96713075	3.560306849	1.865370666	1.413675027	4.420529471	8.027248219	1	2.980590216
MOB3C	3.887131429	3.940411596	5.803482609	6.758157177	10.23595857	6.197554164	5.888941236	60.14276693
MPEG1	44.31305425	281.0828659	12.92281269	9.144419699	18.05904233	135.576273	9.712121269	124.8453906
MPP1	6.756212143	40.27926781	11.55066092	8.90247273	10.94938871	38.5274597	14.53097925	276.3912937
MRC1	1	1.137803001	1.292944491	1	1	9.975388259	2.495720743	1
MRVI1-AS1	5.828067946	1.767613931	1	1	2.924512906	1.678711534	2.997036398	1
MS4A1	1035.746797	17.67866254	14.88336385	20.2886452	39.43084477	15.04557871	20.04334246	36.46689048
MS4A4A	1.855459971	19.71815529	2.097922692	1.462819403	1	18.03475667	1.554961746	8.262523748
MS4A6A	13.40136225	511.1385238	28.16093169	14.86282898	26.71244268	383.7855482	15.38648729	220.0886132
MS4A7	24.0662212	234.0395547	9.43958118	7.401133217	12.20972968	42.92439303	14.61353757	102.1576203
MSANTD3	3.3990723	2.569242195	4.835775033	5.448642595	6.36267864	4.664146275	11.2432554	46.33616752
MSLN	1	1.317921118	1	1	1	9.398162016	1	1
MSR1	1	7.865747226	1.199205013	1	1	3.019344374	1	1
MT1F	10.56461856	9.888872663	20.97586751	50.98129649	32.68430259	3.674691143	29.47725491	2.900472267
MTMR11	3.680041004	59.71345239	4.260023616	3.187825822	5.42495782	76.94251046	1.736264254	29.81551907
MTSS1	69.67896894	39.7256072	8.664213841	11.10300758	13.86546903	4.544546685	47.19330459	31.23168785
MTURN	4.394925704	8.00507118	2.838200783	2.998375388	1.653451268	5.44073466	8.246788779	102.7780414
MXRA7	1.990663047	1	2.160018785	4.765045665	8.597573934	1	7.228885277	1
MYB	1.29803923	5.052780575	4.092836224	5.100647396	5.121408418	3.035194764	3.369976006	30.82732089
MYBL1	4.556458146	2.929465229	9.019592121	20.1230573	47.51367966	1.721654841	71.2424011	16.49400112
MYCL	2.180020123	32.0185437	2.342567509	1.799662523	5.399696895	35.54310794	1.822168288	19.00962247
MYCT1	1	1.149492384	1.206700144	1.425630081	1	1	1.473995201	20.53711751
MYL9	2.478884523	2.201278754	1	1.278517706	1	1.671582652	7.144360753	95.89768635
MYLK	1.787277125	2.850410768	1.198039253	1.542173187	2.676592092	8.718672323	1	196.8299974
MYO1B	6.800365181	1	1	1	1	1	1	1
MYO1E	9.583959217	5.343161032	1.160049884	1.308902466	1	16.03589594	4.381751374	1
MYO6	1.286990903	1.685044055	4.229699767	5.273297489	13.07780137	1	10.70947776	1
MYO7B	8.122883896	3.535528564	1.25194273	1	1	2.594781407	1	1
MYZAP	4.345178132	1.984922337	2.089952976	1.251850471	1	1.716847934	1	87.38119517
MZB1	100.0444919	31.89035055	4.54741126	3.993892787	9.368822602	2.683693046	6.942820809	33.59683962
N4BP3	14.75918318	1.821833185	3.946738327	6.974838127	3.335632815	1	4.994072796	1
NALT1	1.728005192	1.949879949	1.518112166	1.166220586	1	1	8.76806301	1
NAMPT	27.1104772	369.638954	34.33942485	32.73313334	52.9915875	143.8877825	37.6627438	171.2689601
NAV1	2.569695955	2.147406146	2.070279589	1.729819559	2.676592092	13.18561245	2.750663501	5.380316609
NCALD	1.398147576	2.255691301	6.402479111	11.28890063	22.78761447	2.656530564	47.05422978	5.380316609
NCAM1	1.636233093	1.124766422	1	1.276914727	3.532147	1	37.36275313	5.380316609
NCF1	439.2780081	341.5130827	79.80547262	69.04140779	81.04249528	32.71283938	24.32878639	125.921749
NCF2	10.14331103	200.604307	12.05921447	6.412789999	13.86737793	195.3902018	11.59603172	70.81657172
NCKAP5	1	1	1	1	1	5.447911404	1	1
NCOA4	50.15246729	137.2726119	53.98289088	56.33460536	81.33592929	114.9416281	85.13660644	735.7636568
NCR1	1	1.13808815	1.117781385	2.582698598	2.099239326	1.763902257	73.38531843	7.498612546
NCR3	50.28650903	6.724763377	17.4667534	57.93065491	254.3954391	3.230975142	280.6154925	30.45538446
NDC80	2.801401941	1.316572107	4.03262293	5.465556893	12.86000312	1	4.60206844	1
NDN	1.306608141	3.083353439	1.431852982	1.505884876	1	11.29088771	2.622163079	6.621450887
NDRG2	3.892207094	4.316572286	12.65936766	10.5002018	13.69098536	69.51218338	3.973951705	3.670341056
NDST1	1.393882372	7.701328067	1.130720595	1.371058615	2.142475882	2.435494614	2.958388168	31.77735647
NEFL	1	1	8.748546914	1	1.96310165	2.106091912	1	1
NEIL1	35.41992499	3.20099373	7.317743783	7.771085021	10.73780772	1.916644056	45.48144557	11.50194116
NELL2	6.008159868	6.842411927	42.42535163	120.1775356	19.13242582	2.651537872	6.328378634	26.63607776
NEXN	3.798883631	6.631625174	1.940261877	1.721025155	2.159388029	2.219928756	5.850954425	69.05348756
NFAM1	2.279120639	46.03898955	3.910119301	2.555571066	5.80292132	14.17689505	1	7.057405351
NFE2	2.432205854	38.96538821	3.858382704	2.294379183	5.231776603	24.19295088	1.473995201	109.0915427
NFIL3	3.158312145	32.84485405	2.474273006	3.539723005	1.926873397	8.326886653	10.19017789	32.72395478
BEX3	6.710522812	10.34096486	59.5417674	42.78632652	8.761719139	1.951467544	8.76442669	249.3312585
NID1	1.166922977	16.15625713	1.174798283	1.417594902	1	6.105159864	2.644336576	7.272620638
NKG7	76.01721006	80.59802496	50.92327784	987.4639135	2342.724653	89.06587295	6852.760049	286.0655348
NLRC3	6.760833652	3.891787454	13.34908541	15.99845564	22.33085967	2.479893652	38.55123826	1
NLRC4	2.899523188	15.29360541	1.907157081	1.094095047	2.10574325	7.086512738	1	9.414002583
NLRP3	3.335551779	35.84939231	2.949957679	2.833571075	9.160304642	31.35573706	3.594895489	22.03889699
NME8	1	5.872876807	1.443447562	2.167956634	1	3.968641227	14.26999953	1
NMUR1	4.635525614	5.415250627	7.52609217	6.704982843	8.821229716	5.97327159	41.80550903	6.879516939
NOG	2.29883438	2.119479982	20.42464994	15.85809113	2.478785197	2.640566064	4.900482375	8.337295473
NPDC1	3.029208444	3.006372418	21.34011562	19.03871096	57.39163338	2.864776735	4.009520381	3.507906174
NPR3	1	1	1	1.327770199	1	1	1.710420015	15.05606519
NPW	1.114117069	1.629247136	1.140535496	1	1	1.952802	1	9.5957044
NR6A1	2.08222456	3.896536183	1.536503984	1	1	7.597666748	1.710420015	1
NRCAM	1	1	2.616767605	5.227810473	1	1	1	1
NREP	6.460766517	12.77331009	4.054808441	3.916231449	2.877553473	47.35810484	2.811484796	32.72814703
NRG1	1.782872081	44.17662527	2.443606134	2.402716943	2.316364375	7.550273274	2.554088496	17.76014764
NRGN	4.232316004	62.33602008	4.857218347	3.666794831	4.989151881	44.37132023	7.779218786	813.7276325
NSG1	2.154435141	2.466910151	10.99720125	26.74650035	31.48239381	1.988951435	3.826391715	16.27350623
NT5C3A	81.38430132	28.33700957	44.29003153	37.57544472	44.16752057	27.92143207	38.3167656	434.2373469
NT5E	32.68591364	2.438719166	4.260979846	16.60783559	3.179568511	2.518592632	3.47408397	14.47100703
NT5M	1.512673021	1.158311087	1.307400813	2.580607447	1	1	2.167109001	24.01152418
NUP214	20.01540282	224.0740258	22.81709041	16.0531568	21.62914966	92.05502618	22.43056717	100.6052366
NXPH4	9.919131219	1.125801307	1	1	1	1	1	1
OAF	2.757459687	20.54848217	2.651334871	1.595702002	2.096943499	16.3252635	3.782104292	7.272620638
OBSL1	1	1.460549324	1.248028053	1.399366491	1	1.750816137	1.473995201	13.96083143
ODC1	84.10799574	30.274147	32.53862845	38.01789991	36.43181018	37.56124922	37.11395359	271.595943
ODF3B	16.80521126	110.3565075	7.93199059	7.740679209	13.40234321	50.37192943	14.06973267	29.36436472
OLIG1	1.923392198	37.03906859	1.531671972	1.720271881	1.605628958	2.172932472	1	22.87714762
OLR1	1.259561126	14.88812553	1.169238585	1.512335152	2.437381175	11.37935789	1	1
OPHN1	1	2.191975627	1.24956451	1.303957465	1	2.469744326	1	7.498612546
OPTN	11.53277887	9.451611267	77.63039678	66.61552827	93.66919821	4.235458053	129.1936514	18.50845371
OR2A1-AS1	10.82826984	1.572635055	7.262905581	6.665718495	4.347002776	1.909739305	1	1
ORAI2	205.6902878	18.18541888	21.75182116	19.39882418	28.60608422	24.8443388	48.829371	45.9368623
OSBPL10	38.25528176	2.002346811	7.925243032	5.279821035	6.19570096	4.070495652	1	1
OSBPL10-AS1	20.49187973	1.429245712	1.129381203	1.243717689	1	1	1	1
OSBPL5	1.223560455	6.139532995	2.693050942	7.957481886	8.156160414	9.286442273	72.44679859	1
OSCAR	1.960645457	67.39996129	4.588790034	3.812996619	6.971800337	44.60262244	4.156445654	7.336351363
OTUD7B	1.671780169	1.277976333	5.779601298	6.073173999	7.264795554	1	15.21383096	1
OVOS2	1.23712354	1.261153405	1.267550995	1.293303127	1	1	1	66.41395761
OXNAD1	10.85055395	9.416101482	81.77165538	92.24785004	47.34620137	7.059068014	26.21258907	52.01915044
P2RX1	7.515185547	9.895543688	1.390531825	2.140554782	2.392369813	8.137416422	1.922282908	65.69653724
P2RX5	142.4330891	4.430283414	8.196868973	8.103031919	16.25422664	6.411663959	3.951090766	1
P2RX5-TAX1BP3	12.70920109	1.278212881	1.574622625	2.409195993	1	1	2.780969275	1
P2RY1	1	1.801992646	1.817308911	1	1	1.993289337	1	29.58411887
P2RY10	69.256378	3.586716708	28.80394908	20.84051818	17.64751073	2.271282802	13.21571724	33.02337582
P2RY13	2.436434856	62.33448177	4.516620574	2.491725303	6.86061572	64.96947398	2.902261789	24.16387311
P2RY14	20.6494296	3.970648082	1.732793396	2.103649518	12.87790845	14.96986707	1	3.670341056
P2RY2	1	8.216492592	1.458857074	1.200300852	1	2.894198439	1	1
P2RY6	1.261966156	2.185535339	1.167297546	1.306865376	1	18.17671753	1	1
P3H4	1.732327174	1.422565269	3.708626124	5.174899107	6.360181615	1	14.15226003	1
PACSIN1	1.628289488	4.128493493	1	2.644241563	13.39184896	1.892264424	9.474536892	1
PADI2	1.410897157	14.0957478	1.362274458	1.662368506	1	12.39118274	1	1
PAFAH2	3.84990194	4.969873174	8.092706805	9.876606134	11.36061286	4.165473703	36.43298529	7.233908723
PAK1	9.202979279	72.38006138	9.600299024	16.50516812	10.94816515	182.0998735	16.2985515	28.90271924
PANX1	3.448088384	4.524826553	3.827307863	4.945342275	2.00388302	5.261734474	3.354248477	39.50423742
PARM1	5.372883647	1.414471608	1	1	1	6.506575398	1	1
PASK	8.353942272	3.010424568	20.43415707	44.97206422	8.763082179	5.461942631	3.760661675	18.43557555
PAWR	30.66428793	1.619626131	2.262691818	3.235006491	3.391732542	3.098398229	9.873515151	17.82984409
PAX5	60.15459527	2.696680394	2.364218514	1.979546687	4.617923277	1.909739305	1	1
PBX1	1.470162324	1.491818711	1.783316578	1.43713204	1	1	2.997036398	21.38563431
PBX4	2.940872863	2.611130204	7.553312936	8.339898979	22.90763866	1.546813825	4.528788997	1
PCDH1	1.908401397	1	1	1	1	1	11.27340713	1
PCDH9	72.80191776	3.717690361	1.953208808	2.14286498	1	2.505489831	2.420840029	17.46090293
PCP2	1.869747647	1.731390143	1.962160976	1.695835823	2.03908195	1	4.746928321	24.45367719
PCSK1N	2.078005464	2.126857995	10.11470271	16.41074886	6.344190205	2.516807781	1.898521034	1
PCSK5	2.414229989	7.423377592	14.22416814	11.9534413	3.739026145	4.663372513	28.73080476	5.107214733
PDE3A	1	1.484043037	1	1	1	1	1	14.13525371
PDE3B	7.224584871	8.630615132	41.60877607	66.07441669	34.74685557	4.506266049	7.994760065	32.46977509
PDE5A	1	1.067626064	1.583229027	1.256835946	1	1	1	72.41669577
PDE6G	2.265870837	5.849735479	2.691867549	2.521924593	3.437829376	6.194964591	27.99278845	7.498612546
PDE9A	1.609342125	1.632055958	8.656784718	7.626556849	3.299249652	1	1	1
PDGFC	1.601533791	12.55220166	1.735854078	1.309331479	1	5.179768256	1	43.40505483
PDGFD	1.287349386	1.744514325	1.185287711	8.350858405	15.42036281	1	41.27905651	5.380316609
PDLIM1	165.7192592	5.845189274	4.176967862	9.874058238	6.937987053	56.49841849	32.70860636	269.6638514
PDZD4	1	1.445483312	3.029359332	3.943142687	10.83702574	1	21.9415927	1
PEAR1	1	1	1	1	1	1	1	35.31564269
PERP	2.583743143	1.600305529	8.803293515	6.316592896	24.39505364	1	1.922282908	8.738261058
PF4	3.794622474	7.690411178	4.592312353	2.130389888	4.340512994	8.320640454	5.112484681	2814.575157
PF4V1	1.547350768	1	1	1	1	1	1	39.67109012
PGRMC1	8.96251102	25.28026307	14.82294923	13.87391186	16.2886625	20.45206591	20.62672995	444.9302159
PHACTR1	107.5059684	72.95271289	8.502613717	5.518214971	10.57272341	200.4208879	5.929704191	62.31267832
PHGDH	3.239588873	1.493737656	4.794250154	12.7453886	1	2.320323743	2.00469393	6.53669481
PHLDA2	1.635459032	19.26960515	5.407430704	2.086827195	3.686601326	21.79036696	2.313649608	1
PHLDB2	1.683240402	1.225704848	1.33015818	3.107584159	3.07060327	1	16.90576082	1
PI16	4.918936189	1.248761941	12.27099722	3.987873908	1.465009003	1.881411386	2.817144394	1
PID1	3.378555012	69.93456773	5.374548251	2.991697733	4.768207838	56.90290286	5.901008382	20.99462924
PIF1	2.695763185	1.334306204	1.35419014	3.038090914	1.946066633	1	10.18060962	1
PIK3IP1	67.50332097	25.84040739	217.3571998	197.5445916	90.73332694	9.815250274	58.72282923	60.1429229
PILRA	4.860745931	152.9219232	7.138539832	5.72690796	11.60887182	86.02814918	6.041769803	51.18484606
PIP5K1B	15.44568523	5.635859172	1.645723803	2.489511804	1	1.988681573	1	12.95897325
PKHD1L1	14.72265818	1.11765409	1.274772228	1	1	1	1	1
PKIA	4.641977388	1.274634771	10.93167411	6.64900889	1	1.536001046	1.898521034	1
PKIB	1	1.840495357	1.70763363	1.286748053	1	43.33749287	1	4.961180432
PKIG	108.8537659	5.48457059	4.797851575	8.13529723	4.36816271	6.610484502	3.412701076	49.05581151
PLA2G12A	13.42390514	10.53638305	22.09500531	21.89674761	16.54511232	14.99097141	14.25087693	164.7733461
PLAAT3	4.439068769	28.14655939	6.916516251	23.09579458	40.48924799	5.720404609	85.74271777	17.39974417
PLA2G7	2.708489875	49.05212652	2.760039344	1.916836196	1.585029333	16.85491711	3.224446669	25.70329336
PLAUR	7.393540596	183.5309051	10.93375568	9.163787679	10.29426026	98.51542171	14.29094864	81.17219929
PLB1	1.48620349	8.996200796	2.916059577	1.240469473	2.116874182	13.74198451	3.211124544	1
PLBD1	5.89920356	158.0791324	8.533958565	5.52985418	7.221880435	169.2367404	4.943681343	69.68384153
PLD4	59.18814582	70.9064872	4.944075765	3.516492205	9.812751216	187.404346	5.328500496	25.06697905
PLEKHB1	6.429202079	3.082132782	31.43045492	25.15449312	17.06577194	1.828094257	4.92828504	21.53956069
PLEKHF1	4.690217843	2.536530644	13.05937279	20.68570754	54.36274695	2.720519964	140.3755433	17.52092403
PLEKHF2	135.8794786	27.4378616	25.57612876	29.19640744	22.80773631	24.68291405	16.06023132	23.55496545
PLEKHG1	26.52446975	1	1.67838153	2.642825802	1	1	1	1
PLEKHG3	1.834439858	8.886672849	7.419020033	7.950319678	28.38333263	3.652974659	74.14796836	11.33223579
PLOD1	3.509070579	14.23982214	3.094050906	4.068722349	3.113484702	8.393010913	25.7022893	1
PLOD2	1	1.155073741	1	1	1	1.876507154	1	39.29792048
PLPP2	1.600412363	1.161686481	1.189351766	3.003841733	9.269895453	1	1	1
PLPP5	268.3031146	13.09648587	12.80527844	13.17324189	25.8910093	17.45998584	18.90303741	16.4779222
PLXDC1	2.006890565	3.44208065	10.8022545	15.39360896	8.490980723	1	3.107490443	1
PLXDC2	3.62739067	62.0263494	3.52254929	2.909892473	5.845464708	45.15202971	9.544598072	37.55504613
PLXNB2	2.877909852	58.75090343	4.692638364	3.497640684	11.74675164	38.11021343	3.389794621	32.48747917
PMEPA1	10.91956436	2.802007732	3.342556715	2.369291629	1	1	1	5.380316609
PNOC	86.00091795	5.849655913	3.551468247	1.773451582	2.196716211	3.111339278	1	4.694590381
PON2	2.884441635	9.495410653	3.811499915	4.951427986	7.0210115	52.39249406	21.324898	8.130055026
POU2AF1	90.17351547	2.942863966	3.432689598	2.870929556	4.355637068	3.326030974	1	1
PPBP	4.024544341	12.65717124	4.44009364	3.574004719	2.927445714	7.416819274	5.112484681	3614.323243
PPM1L	1.583886865	10.05473812	2.013355667	3.25233201	2.466387466	5.361496466	24.80056415	11.24342598
PPP1R13B	2.805428062	1.171904688	3.517993188	4.607441473	11.13149706	1.630375527	10.64077627	1
PPP1R14A	73.52637078	6.633857211	2.123518221	2.119751634	12.2996724	37.72034327	1.696630121	33.9358337
PPP1R9A	2.3158325	1	1	1.239174484	1.545789561	1	15.4894982	1
PPP2R2B	1.430256568	2.022589316	3.909813162	11.42620775	20.91582827	1.930693143	30.09659318	1
PRAM1	6.813150107	100.6697295	7.797342828	3.86598428	7.470792129	76.2399591	4.888042336	59.1081629
PRCD	4.390050795	1	1.200147549	1.730895503	1	1.641726604	1	1
PRCP	42.3993065	70.6222941	18.98407202	19.83689568	30.04957211	162.5071794	30.02260041	48.44220468
PRDM16	1	1	1	1	1	1	5.487162229	1
PRF1	13.10902764	10.74843932	22.17331323	108.740985	357.4598336	9.621211091	1718.468279	114.2562216
PRICKLE1	7.536970463	2.499773773	1.29386026	1.176537901	1	1	1	1
PRKAR2B	1.075086541	4.841070873	1.892174817	2.210766509	1	11.66543409	2.567108278	194.6079086
CAVIN3	1.753903917	8.088856432	1.372633299	1.366364767	1	17.33103502	2.725702965	1
PRKCH	10.5403883	10.5840103	85.55534659	120.129739	108.8676898	13.06853462	210.7670183	60.06272897
PROK2	1.324396849	11.10756691	1.539277578	2.60211005	1	1	1	5.107214733
PROM1	1	1	1	1	1	1	1	11.45292525
PROS1	1.280981671	1	1	1	1	1	1	50.23291639
PRR5	6.886585116	6.304475126	16.62662394	31.96270461	59.37086921	2.747940053	44.66477891	18.06087276
PRR5L	2.513483046	5.900252445	5.02711379	12.80957157	8.552581933	2.148517035	38.33792675	4.301343317
PRSS23	1.806378983	1.462845356	1.281705199	11.34113135	14.48803331	1.879272385	147.287577	9.773315085
PRSS35	1.179922453	1	1	1.322641635	6.492991184	1	1	1
PRSS57	1.512836292	2.381630843	1.25474968	2.091468346	1	5.167245451	9.996624002	59.96349099
PRUNE1	5.654014498	4.83212337	6.804710809	6.777635152	6.060509203	4.054225566	9.262787391	70.18019799
PTAFR	6.010742989	47.54571093	3.466299075	3.2096916	3.404638247	28.32430527	4.465251926	51.80041685
PTCHD1	6.294573323	1	1.2772939	1	1	1	1	1
PTCRA	1.682927524	11.86806032	1.84574673	1.78583551	1	1.910730223	2.62785852	541.5865521
PTGDR	2.731387704	2.129442932	4.182233508	32.14253138	53.11826826	1.901066502	225.1130317	38.79411399
PTGDS	3.327484894	68.565383	5.597721033	4.847495205	14.46534627	1.911341093	373.1638668	55.48909914
PTGIR	4.831851281	15.09150682	4.09263439	2.842113989	3.09876253	12.04633886	1	41.38283179
PTGS1	4.617381769	9.785276778	1.902340662	2.697430734	2.670207507	26.63485968	1.358531655	176.8791869
PTGS2	3.549657236	75.15716011	4.64863618	3.018262259	3.827203817	30.7122283	3.850090374	14.51777585
PTK2	10.68921829	4.757972066	5.891991107	2.164711853	4.997156118	9.359686121	2.115842282	43.34796339
PTMS	3.080351694	16.48251663	5.884269538	14.98114899	60.48601442	26.21962662	13.67492144	32.43709407
PTPN12	11.87850213	50.07605887	7.572995653	12.52497398	20.16144284	39.48596153	119.4338569	93.43875518
PTPN4	36.56461996	11.50466305	83.94619775	109.5868992	122.9388512	8.303883491	205.4480778	33.43269364
PTPRK	11.29881759	1.097591986	1.23300019	3.320505099	2.116874182	1	1	1
PTPRO	11.34197026	4.611699654	2.37924753	1.457480008	1	4.240649036	1.533521133	4.517473047
CAVIN1	1	1.149492384	1.448283909	1	1	1	1.710420015	12.93209696
PVALB	1	1	1	1	1	1	1	26.81572109
PYGL	2.685808218	50.56824735	3.720060073	2.388901523	3.338371439	28.51209941	1	57.57544825
PYHIN1	11.46793826	3.915599973	44.24388222	72.18417287	132.827442	6.057314002	307.9987069	15.17107609
PYROXD2	3.101550682	2.49170136	4.210755086	5.899848988	7.322559255	4.43543664	15.98325143	1
QPCT	3.974480257	97.03398632	4.991323443	2.912075124	4.105684152	48.55069535	1.358531655	61.328388
QRSL1	113.7788757	10.57868998	15.95341689	17.17979143	16.60245679	18.5198354	23.74114932	16.542592
RAB11FIP3	2.43319841	1.96593565	2.420644557	1.52614812	8.962979424	1.866031808	1	14.13525371
RAB13	4.655221709	9.98426744	1.609375309	3.429221509	1	17.2319788	2.420840029	28.30620782
RAB27B	1.913389369	1.554581486	3.18000879	3.867014482	3.181986776	1	33.71567856	103.1568529
RAB30	33.25378588	2.43866128	6.606050463	5.177394086	6.30214584	2.608325541	1	20.41616576
RAB31	13.82459117	124.3514084	8.632091584	5.670128967	7.576641584	106.1503077	9.292126262	94.70596321
RAB32	7.31305426	138.1723084	8.529439661	5.951510123	12.53412408	181.7039718	13.18913259	187.5892171
RAB34	8.264367684	32.53103942	8.480722439	4.598405929	5.267394493	56.0459491	4.205245534	22.47868623
RAB3D	6.733408249	59.37428622	7.130909211	4.434492327	7.779564791	23.21299092	9.889418059	26.50913731
RAB6B	1	1	1	1	6.170706948	1.558129151	1	2.980590216
RABEP2	53.77451664	7.446018205	11.81563719	13.37646943	20.96543135	17.79585404	33.09927219	1
RALGPS2	227.3455841	7.102407001	6.11300662	7.773099003	10.78305289	2.284300508	10.32338365	13.5689276
RAMP1	1.225259623	1	1.527339627	1	1.491314542	1	33.25904795	27.62290995
RANBP17	1	1.167587645	1	1.28774842	1	1	6.999203284	1
RARRES1	1	1	1	1	1	1	1	20.93620415
RASGRP3	71.13086489	2.888703841	4.660224461	4.341069509	4.453946652	2.460030072	7.031609061	1
RASGRP4	2.745332418	30.91204892	3.051220943	2.025222332	1	22.32708318	1.822168288	5.45971397
RASSF4	5.258415378	64.74220869	5.087859814	3.792631294	14.61124917	68.49579114	49.20213487	15.90069234
RBM47	3.569931522	62.34916739	4.961980611	2.109188849	4.61153097	38.91576151	1.923939456	36.44579912
