"Sample.ID","Immune.Subtype","Subtype1.WoundHealing","Subtype2.IFNGammaDominant","Subtype3.Inflammatory","Subtype4.LymphocyteDepleted","Subtype5.ImmunologicallyQuiet","Subtype6.TGFBetaDominant"
"X11BR017.T",2,6.76872991789423e-06,0.999793887138367,4.69270844405401e-06,1.42448675433116e-05,2.34234257732169e-05,0.00187333236681297
"X11BR018.T",6,0.0245860107243061,0.0110807018354535,0.261292718350887,1.52704768652256e-06,2.78971792795346e-05,0.0555581860244274
"X11BR019.T",2,3.19536081860861e-06,0.999602496623993,0.000140605279739248,0.000271207085461356,4.44539864474791e-05,0.000133277848362923
"X11BR020.T",2,0.000481655384646729,0.999218016862869,1.04205073512276e-05,2.9720007432843e-06,5.11852304043714e-05,0.0136952153407037
"X11BR022.T",2,8.09496896181372e-06,0.999989807605743,4.35115666164165e-07,6.23270098003559e-05,3.79521588911302e-05,0.00132604042300954
"X11BR023.T",2,3.08119734171441e-08,0.999987304210663,2.43559270529659e-07,5.28288965142565e-05,2.68658832283108e-05,0.000249797376454808
"X11BR024.T",2,5.05246635640333e-08,0.99999338388443,1.13140333724004e-06,8.46273287606891e-05,3.44458230756572e-05,0.000246069561399054
"X11BR025.T",1,0.11455998942256,0.00643983064219356,0.00105379306478426,0.315517142415047,0.000863112887600437,0.000347862529451959
"X11BR027.T",2,4.56848610497218e-07,0.937260985374451,4.60691626358312e-05,0.0260613821446896,3.9661869777774e-05,0.000462453172076494
"X11BR028.T",1,0.909527212381363,0.000178568050614558,0.00953768938779831,0.00218492280691862,1.99260362023779e-05,0.00532532529905438
"X11BR030.T",2,2.60673255070287e-06,0.999834805727005,1.56320957103162e-05,1.10651862428313e-06,4.02961059080553e-05,0.00156777404481545
"X11BR031.T",2,4.691974254456e-06,0.999954462051392,8.49313423145759e-07,6.9974412326701e-05,3.59827577085525e-05,0.00029031332815066
"X11BR032.T",2,0.000708547246176749,0.995946019887924,8.46937564347172e-06,0.000136942835524678,3.79521588911302e-05,0.00406205153558403
"X11BR036.T",4,0.00138319097459316,0.0044232317013666,6.81030701343843e-06,0.604284524917603,0.000293949371553026,0.000394483271520585
"X11BR038.T",2,0.0147696915082633,0.0503827426582575,0.0140006383880973,5.83262306008692e-07,2.6598597287375e-05,0.00689427950419486
"X11BR040.T",3,0.0965941175818443,5.33835991518572e-05,0.383560791611671,0.000145434478326933,1.80569622898474e-05,0.00489735254086554
"X11BR042.T",1,0.835452020168304,0.0858356636017561,0.00262920185923576,0.00018673555314308,4.08187252105563e-05,0.00245076173450798
"X11BR043.T",2,1.19552623800701e-07,0.99999862909317,4.22053687998414e-07,1.3531360309571e-05,3.9661869777774e-05,0.00019202987459721
"X11BR044.T",2,9.03823060838249e-08,0.99998927116394,1.88255047106622e-07,0.000183003292477224,3.5904780816054e-05,0.000181868672370911
"X11BR047.T",2,1.02694721135776e-05,0.997234463691711,2.92378240374092e-06,0.000450449748313986,3.79521588911302e-05,0.0059052521828562
"X11BR049.T",2,4.47506135969888e-06,0.9999960064888,7.57740679091512e-07,0.000220459973206744,2.55280147030135e-05,0.000534640712430701
"X11BR050.T",2,0.00156242976663634,0.90377551317215,2.91188162009348e-05,0.0004181756376056,3.79521588911302e-05,0.00407255359459668
"X11BR051.T",2,8.67813378135907e-06,0.997731953859329,8.28982621214891e-07,0.0155858057551086,2.55285513048875e-05,0.000649419118417427
"X11BR053.T",1,0.519838288426399,0.000685882172547281,0.0013600088423118,0.134752456098795,2.39261762544629e-05,0.000407079583965242
"X11BR054.T",2,8.71488668963138e-06,0.738341927528381,1.8818442185875e-05,0.906389176845551,3.44360851158854e-05,0.000257507010246627
"X11BR055.T",1,0.750103116035461,0.0101135652512312,0.00416574534028769,8.33237209008075e-05,3.36111925207661e-05,0.0889561586081982
"X11BR056.T",1,0.409730643033981,0.00270034954883158,0.0888253599405289,3.25843060977604e-07,2.71179233095609e-05,0.14220205694437
"X11BR058.T",1,0.552830427885056,0.253459885716438,6.28374600637471e-05,4.06243398174411e-05,3.73991388187278e-05,0.368600085377693
"X11BR059.T",1,0.936657905578613,0.0639920383691788,0.018651369959116,1.15495399768406e-05,2.54250880971085e-05,0.00940707791596651
"X11BR060.T",2,1.55089975351075e-06,0.999878406524658,1.60555167383336e-07,6.00455441599479e-05,3.71551032003481e-05,0.00163865211652592
"X11BR072.T",6,0.0958944670855999,0.00291451276279986,0.0569155775010586,4.53595180260891e-06,1.80569622898474e-05,0.111939262598753
"X11BR073.T",2,1.12281045403506e-05,0.981315225362778,0.000874039600603282,1.07956957435817e-05,4.59606799267931e-05,0.00034342089202255
"X11BR074.T",1,0.542904376983643,0.0071856202557683,0.00451753824017942,1.29696186377259e-05,2.19277653741301e-05,0.177622318267822
"X11BR075.T",2,3.95659426999373e-07,0.99986732006073,3.59993341803033e-08,0.00414347811602056,4.25089983764337e-05,0.000549080883502029
"X11BR080.T",2,4.37373373074479e-07,0.999955892562866,3.27506413100309e-07,4.56776906503364e-05,4.2428867345734e-05,8.26882678666152e-05
"X13BR009.T",2,4.28122163498301e-07,0.999858498573303,4.27424026838708e-07,0.00136471836594865,4.08021987823304e-05,0.000580272113438696
"X14BR005.T",2,3.64426341548096e-06,0.998789817094803,1.90093771834654e-06,0.190659984946251,2.97551878247759e-05,0.000133232868392952
"X14BR008.T",1,0.379908964037895,0.0294860024005175,0.0406430047005415,1.29892242739515e-06,2.19277653741301e-05,0.0926399230957031
"X14BR014.T",2,0.000135739261168055,0.991030305624008,2.23888986283782e-06,7.48589045542758e-05,3.75415720554884e-05,0.00476690614596009
"X15BR003.T",3,0.00212652492336929,0.00203230755869299,0.529074400663376,3.97198064661097e-07,2.23388942686142e-05,0.0437886491417885
"X16BR012.T",1,0.987411946058273,0.00407259678468108,0.000398541887989268,8.26758550829254e-05,2.01872171601281e-05,0.000970837660133839
